iso,sub_indicator,2010,2011,2012,2013,2014,2015
AR,Biomass & Waste,0,0,11.5,16.6,17,17
BB,Biomass & Waste,0,0,0,0,0,0
BD,Biomass & Waste,0,0,0,0,0,0
BO,Biomass & Waste,25,25,25,25,35,35
BR,Biomass & Waste,9795.19165,10532.47265,11113.89765,12226.73865,12928.69265,13215.92665
BS,Biomass & Waste,0,0,0,0,0,0
BW,Biomass & Waste,0,0,0,0,0,0
BZ,Biomass & Waste,31.5,31.5,31.5,31.5,31.5,31.5
CD,Biomass & Waste,9,9,9,9,9,9
CI,Biomass & Waste,0,0,0,0,0,0
CL,Biomass & Waste,209.25,230.87,322.27,357.49,358.7,366.73
CM,Biomass & Waste,0,0,0,0,0,0
CN,Biomass & Waste,5500,6800,7300,8768,9000,10025
CO,Biomass & Waste,54.9,54.8,57.3,66,77.3,86.6
CR,Biomass & Waste,43.7,43.7,43.7,40,40,40
DO,Biomass & Waste,0,0,0,0,0,0
EC,Biomass & Waste,101,101,101,101,136,146.3
EG,Biomass & Waste,0,0,0,0,0,0
ET,Biomass & Waste,31.42,31.42,28.22,114,114,0
GH,Biomass & Waste,0,0,0,0,0,0
GT,Biomass & Waste,256.75,287.75,298.25,325.68,452.28,531.409
GY,Biomass & Waste,30,30,30,30,30,30
HN,Biomass & Waste,116.3,137.45,137.45,137.45,123.3,172.2
HT,Biomass & Waste,0,0,0,0,0,0
ID,Biomass & Waste,1709,1709,1653,1717,1767,1745
IN,Biomass & Waste,4414,5004,5566,6074,7756,8635
IN-AP,Biomass & Waste,450.81,450.81,453.01,456.3,460.24,468.74
IN-BR,Biomass & Waste,11,41,47,47,47,47
IN-MP,Biomass & Waste,4,11,14,26,67,92.53
IN-OR,Biomass & Waste,0,20,25.4,50.4,50.4,50.4
IN-UP,Biomass & Waste,1145.45,1203.25,1218.25,NA,1831.53,1991.73
IN-WB,Biomass & Waste,255,217,217,217,217,217
JM,Biomass & Waste,0,0,0,0,0,0
JO,Biomass & Waste,3.5,3.5,3.5,3.5,3.5,3.5
KE,Biomass & Waste,51,51,51,51,51,51
LB,Biomass & Waste,0,0,0,0,0,0
LK,Biomass & Waste,12.1,12.5,12.5,16.5,20,20.1
LR,Biomass & Waste,0,0,0,0,0,0
MM,Biomass & Waste,,,,174,174,150
MW,Biomass & Waste,18.5,18.5,18.5,18.5,18.5,19.6
MX,Biomass & Waste,244.79,311.638,342.236,365.332,685,760
MZ,Biomass & Waste,0,0,0,0,0,0
NG,Biomass & Waste,0,0,0,0,0,0
NI,Biomass & Waste,122,122,134,134,134,133.8
NP,Biomass & Waste,0,0,0,0,0,0
PA,Biomass & Waste,0,0,0,0,0,0
PE,Biomass & Waste,53.2,97.15,148,145.75,115.7,118.2
PK,Biomass & Waste,35,35,35,35,87,173
PY,Biomass & Waste,0,0,0,0,0,0
RW,Biomass & Waste,0,0,0,0,0,0
SL,Biomass & Waste,0,0,0,0,0,0
SN,Biomass & Waste,0,0,0,0,0,0
SR,Biomass & Waste,0,0,0,0,0,0
SV,Biomass & Waste,94,110,105,105,130,232.35
TJ,Biomass & Waste,0,0,0,0,0,0
TT,Biomass & Waste,0,0,0,0,0,0
TZ,Biomass & Waste,19.5,19.5,19.5,19.5,21,21.5
UG,Biomass & Waste,35.6,40.6,40.6,75.1,82,89
UY,Biomass & Waste,235.6,243.1,250.1,420.1,420.7,424.6
VE,Biomass & Waste,0,0,0,50,50,50
VN,Biomass & Waste,0,0,0,0,0,0
ZA,Biomass & Waste,249.1,250.2,251.2,254.2,254.2,259
ZM,Biomass & Waste,0,0,0,0,0,0
ZW,Biomass & Waste,78,96.5,96.5,96.5,96.5,96.5
AR,Coal,675,675,675,675,675,675
BB,Coal,0,0,0,0,0,0
BD,Coal,250,250,250,250,250,250
BO,Coal,0,0,0,0,0,0
BR,Coal,1847.141,2197.141,2917.415,3642.552,3642.552,3663.552
BS,Coal,0,0,0,0,0,0
BW,Coal,132,132,132,582,732,732
BZ,Coal,0,0,0,0,0,0
CD,Coal,0,0,0,0,0,0
CI,Coal,0,0,0,0,0,0
CL,Coal,2380.6,3175.41,3795.41,3795.41,4010.28,4248.11
CM,Coal,0,0,0,0,0,0
CN,Coal,650110,706670,758110,794500,832330,884190
CO,Coal,1073.4,991,997,997,1003,1353.4
CR,Coal,0,0,0,0,0,0
DO,Coal,313.6,313.6,313.6,313.6,313.6,313.6
EC,Coal,0,0,0,0,0,0
EG,Coal,0,0,0,0,0,0
ET,Coal,0,0,0,0,0,0
GH,Coal,0,0,0,0,0,0
GT,Coal,159,159,242,274.96,413.75,572.2
GY,Coal,0,0,0,0,0,0
HN,Coal,8,21,21,21,42,39.8
HT,Coal,0,0,0,0,0,0
ID,Coal,11139,14385,17794,20611,25783,27043
IN,Coal,92055,103201,119180,136645,154105,173018
IN-AP,Coal,3636.8,4346.8,5296.8,5446.8,6396.8,9186.8
