iso,sub_indicator,2010,2011,2012,2013,2014,2015
IN-BR,Coal,2870,2770,2770,2770,3430,4285
IN-MP,Coal,6192.5,6192.5,6880,10050,13685,16105
IN-OR,Coal,5090,5690,6290,6640,7930,8530
IN-UP,Coal,11932,13862,15377,16127,17576.14,17243
IN-WB,Coal,11535,10715,11575,12075,12325,13425
JM,Coal,0,0,0,0,0,0
JO,Coal,0,0,0,0,0,0
KE,Coal,0,0,0,0,0,0
LB,Coal,0,0,0,0,0,0
LK,Coal,0,300,300,300,900,900
LR,Coal,0,0,0,0,0,0
MM,Coal,120,120,120,120,120,120
MW,Coal,0,0,0,0,0,0
MX,Coal,2665,2665,2665,2665,5378,5378
MZ,Coal,0,0,0,0,0,0
NG,Coal,0,0,0,0,0,0
NI,Coal,0,0,0,0,0,0
NP,Coal,0,0,0,0,0,0
PA,Coal,0,0,0,0,0,0
PE,Coal,150,135,135,135,135,135
PK,Coal,165,150,150,150,150,150
PY,Coal,0,0,0,0,0,0
RW,Coal,0,0,0,0,0,0
SL,Coal,0,0,0,0,0,0
SN,Coal,0,0,0,0,0,0
SR,Coal,0,0,0,0,0,0
SV,Coal,0,0,0,0,0,0
TJ,Coal,-,-,-,-,50,100
TT,Coal,0,0,0,0,0,0
TZ,Coal,0,0,0,0,0,0
UG,Coal,0,0,0,0,0,0
UY,Coal,0,0,0,0,0,0
VE,Coal,0,0,0,0,0,0
VN,Coal,3941,4451,4900,7023,9843,13157
ZA,Coal,35295,35650,35650,37715,37715,38509
ZM,Coal,0,0,0,0,0,150
ZW,Coal,1170,1170,1170,1170,1170,1170
AR,Geothermal,0,0,0,0,0,0
BB,Geothermal,0,0,0,0,0,0
BD,Geothermal,0,0,0,0,0,0
BO,Geothermal,0,0,0,0,0,0
BR,Geothermal,0,0,0,0,0,0
BS,Geothermal,0,0,0,0,0,0
BW,Geothermal,0,0,0,0,0,0
BZ,Geothermal,0,0,0,0,0,0
CD,Geothermal,0,0,0,0,0,0
CI,Geothermal,0,0,0,0,0,0
CL,Geothermal,0,0,0,0,0,0
CM,Geothermal,0,0,0,0,0,0
CN,Geothermal,28.1,28.1,28.1,28,28,28
CO,Geothermal,0,0,0,0,0,0
CR,Geothermal,165.71,210.71,217.461,217.461,217.46,217.46
DO,Geothermal,0,0,0,0,0,0
EC,Geothermal,0,0,0,0,0,0
EG,Geothermal,0,0,0,0,0,0
ET,Geothermal,7,7,7,7,7,7
GH,Geothermal,0,0,0,0,0,0
GT,Geothermal,49.2,49.2,49.2,49.2,49.2,49.2
GY,Geothermal,0,0,0,0,0,0
HN,Geothermal,0,0,0,0,0,0
HT,Geothermal,0,0,0,0,0,0
ID,Geothermal,1193,1209,1344,1345,1405,1439
IN,Geothermal,0,0,0,0,0,0
IN-AP,Geothermal,0,0,0,0,0,0
IN-BR,Geothermal,0,0,0,0,0,0
IN-MP,Geothermal,0,0,0,0,0,0
IN-OR,Geothermal,0,0,0,0,0,0
IN-UP,Geothermal,0,0,0,0,0,0
IN-WB,Geothermal,0,0,0,0,0,0
JM,Geothermal,0,0,0,0,0,0
JO,Geothermal,0,0,0,0,0,0
KE,Geothermal,198,198,205.5,241.5,540,598.1
LB,Geothermal,0,0,0,0,0,0
LK,Geothermal,0,0,0,0,0,0
LR,Geothermal,0,0,0,0,0,0
MM,Geothermal,0,0,0,0,0,0
MW,Geothermal,0,0,0,0,0,0
MX,Geothermal,964.5,886.6,811.6,823.4,813,926
MZ,Geothermal,0,0,0,0,0,0
NG,Geothermal,0,0,0,0,0,0
NI,Geothermal,88,88,165,155,155,154.5
NP,Geothermal,0,0,0,0,0,0
PA,Geothermal,0,0,0,0,0,0
PE,Geothermal,0,0,0,0,0,0
PK,Geothermal,0,0,0,0,0,0
PY,Geothermal,0,0,0,0,0,0
RW,Geothermal,0,0,0,0,0,0
SL,Geothermal,0,0,0,0,0,0
SN,Geothermal,0,0,0,0,0,0
SR,Geothermal,0,0,0,0,0,0
SV,Geothermal,204,204,204,204,204,204.4
TJ,Geothermal,0,0,0,0,0,0
TT,Geothermal,0,0,0,0,0,0
TZ,Geothermal,0,0,0,0,0,0
UG,Geothermal,0,0,0,0,0,0
UY,Geothermal,0,0,0,0,0,0
VE,Geothermal,0,0,0,0,0,0
VN,Geothermal,0,0,0,0,0,0
ZA,Geothermal,0,0,0,0,0,0
ZM,Geothermal,0,0,0,0,0,0
ZW,Geothermal,0,0,0,0,0,0
AR,Large Hydro,10091,10596,10569.9,10569.9,10578,10578
BB,Large Hydro,0,0,0,0,0,0
BD,Large Hydro,230,230,230,230,230,230
BO,Large Hydro,198.4,203,203,203,203,203
BR,Large Hydro,77239.645,78712.145,81793.713,85414.313,86092.213,86821.558
BS,Large Hydro,0,0,0,0,0,0
BW,Large Hydro,0,0,0,0,0,0
BZ,Large Hydro,0,0,0,0,0,0
CD,Large Hydro,2389.16,2457,2457,2457,2457,2607
CI,Large Hydro,549,549,549,549,549,549
CL,Large Hydro,4809.1,5239.27,5299.27,5299.27,5642.9,5364.56
CM,Large Hydro,723,723,732.2,732.2,732.2,732.2
CN,Large Hydro,139886.99,152476.57,163454.405,190475,231830,242721.2
CO,Large Hydro,8525,9185,9185,9315,10303.7,10892
CR,Large Hydro,1120.4,1248.4,1258.9,1280,1257.6,1357.29
DO,Large Hydro,355.2,355.2,435.2,435.2,435.2,440
EC,Large Hydro,1935,1935,1926,1935,1915,1984.36
EG,Large Hydro,2800,2800,2800,2800,2800,2800
ET,Large Hydro,1614,1714,1714,1714,1714,3584
GH,Large Hydro,1180,1180,1180,1580,1580,1580
GT,Large Hydro,612.1,612.1,697.1,673,697.1,697.1
GY,Large Hydro,0,0,0,0,0,0
HN,Large Hydro,380,380,380,380,380,380
HT,Large Hydro,0,0,0,0,0,0
ID,Large Hydro,3720,3881,4078,4085.94,4156,4288
IN,Large Hydro,36387,37797,38350,38803,39612,41368
IN-AP,Large Hydro,1100,1100,1100,1100,1100,1100
IN-BR,Large Hydro,0,0,0,0,0,0
IN-MP,Large Hydro,2320,2320,2320,2320,2320,2320
IN-OR,Large Hydro,2027.5,2027.5,2027.5,2027.5,2027.5,2142.25
IN-UP,Large Hydro,471,471,471,471,471,471
IN-WB,Large Hydro,1013.2,1013.2,1013.2,1145.2,1145.2,1145.2
JM,Large Hydro,0,0,0,0,0,0
JO,Large Hydro,0,0,0,0,0,0
KE,Large Hydro,653.2,653.2,721.2,725.2,725.2,806.2
LB,Large Hydro,195,195,195,195,195,195
LK,Large Hydro,1207,1207,1357,1361,1377,1377
LR,Large Hydro,0,0,0,0,0,0
MM,Large Hydro,1654,2522,2693,2813,3005,3063
MW,Large Hydro,286,287,287,346,346,346.3
MX,Large Hydro,11127.598,11077.258,11121.973,11130.338,11890,11890
MZ,Large Hydro,2127,2127,2127,2127,2092,2092
NG,Large Hydro,1930,1930,1930,1930,1930,1930
NI,Large Hydro,54,54,54,54,54,54
NP,Large Hydro,403,403,403,403,403,403
PA,Large Hydro,734.76,956.93,1158.29,1158.29,1368.74,1426.74
PE,Large Hydro,2892.262,2842.9,2846.85,2896.03,2947.91,3428.11
PK,Large Hydro,6436,6526,6592,6809,6939,6939
PY,Large Hydro,8810,8810,8810,8810,8810,8810
RW,Large Hydro,0,0,0,0,0,0
SL,Large Hydro,0,0,0,0,0,0
SN,Large Hydro,66,66,66,81,81,81
SR,Large Hydro,189,189,189,189,189,189
SV,Large Hydro,452,452,453,453,453,452.8
TJ,Large Hydro,4681.1,4791.1,4791.1,4791.1,4856,4856
TT,Large Hydro,0,0,0,0,0,0
TZ,Large Hydro,532,532,532,532,532,532
UG,Large Hydro,380,380,630,630,630,630
UY,Large Hydro,1538,1538,1538,1538,1538,1538
VE,Large Hydro,14597,14597,14597,14853.19,14854.81,14854.81
VN,Large Hydro,8124,10100,12009,13261,13617,14585
ZA,Large Hydro,600,600,600,600,600,600
ZM,Large Hydro,1698,1698,1698,1818,2178,2178
ZW,Large Hydro,750,750,750,750,750,750
AR,Natural Gas,14025.81,14950.78,15816.46,14177.57,14346,14346
BB,Natural Gas,0,0,0,0,0,0
BD,Natural Gas,4786,5232,5491,5986,6681,8208
BO,Natural Gas,861,887.2,1054.2,1107.5,1286.4,1486.4
BR,Natural Gas,10884.7688,10917.2882,10927.9168,11851.09286,12404.53286,12427.68174
BS,Natural Gas,0,0,0,0,0,0
BW,Natural Gas,0,0,0,0,0,0
BZ,Natural Gas,0,0,0,0,0,0
CD,Natural Gas,12,12,12,12,12,12
CI,Natural Gas,779,809,809,909,1028,1284
CL,Natural Gas,4317.96,4317.96,4317.96,4317.96,4087.5,3301.66
CM,Natural Gas,0,0,0,216,216,216
CN,Natural Gas,26680,32650,38270,46680,56970,66370
CO,Natural Gas,2478,2653,2479,1972,1757,1659.983
CR,Natural Gas,0,0,0,0,0,0
DO,Natural Gas,555,688.6,688.6,690,725.3,722.6
EC,Natural Gas,182,168,305,305,305,305
EG,Natural Gas,9977,10704,12904,13505,14745,16651
ET,Natural Gas,0,0,0,0,0,0
GH,Natural Gas,200,200,337,337,332,200
GT,Natural Gas,0,0,0,0,0,0
GY,Natural Gas,0,0,0,0,0,0
HN,Natural Gas,72.5,72.5,72.5,72.5,72.5,30
HT,Natural Gas,0,0,0,0,0,0
ID,Natural Gas,11745,13190,13328,13466,13628,13706
IN,Natural Gas,17114,17139,17623,19330,22917,24473
IN-AP,Natural Gas,3150.4,3370.4,3370.4,3370.4,3370.4,4880.4
IN-BR,Natural Gas,0,0,0,0,0,0
IN-MP,Natural Gas,0,0,0,0,0,0
IN-OR,Natural Gas,0,0,0,0,0,0
IN-UP,Natural Gas,1469,1469,1469,1469,1493.14,1493.14
IN-WB,Natural Gas,0,0,0,0,80,80
JM,Natural Gas,271.5,271.5,271.5,271.5,271.5,271.5
JO,Natural Gas,2102,2421,2421,2512,2512,2656
KE,Natural Gas,60,27,54,54,54,0
LB,Natural Gas,0,0,0,0,0,0
LK,Natural Gas,0,0,0,0,0,0
LR,Natural Gas,0,0,0,0,0,0
MM,Natural Gas,550,550,550,550,1236,1604
MW,Natural Gas,15,15,15,15,15,15
MX,Natural Gas,29649.7819149739,29037.757172161,28759.5057972157,31699.2335549936,29968,31280
MZ,Natural Gas,0,0,100,220,395,395
NG,Natural Gas,6344,6344,9224,9360,9794,10649
NI,Natural Gas,0,0,0,0,0,0
NP,Natural Gas,0,0,0,0,0,0
PA,Natural Gas,0,0,0,0,70,0
PE,Natural Gas,2065.503,2747.04,2511.36,3264.38,2628.79,2628.79
PK,Natural Gas,9438,10325,9942,9961,9944,10115
PY,Natural Gas,0,0,0,0,0,0
RW,Natural Gas,3.6,3.6,3.6,3.6,3.6,25
SL,Natural Gas,0,0,0,0,0,0
SN,Natural Gas,77,77,87,44,44,44
SR,Natural Gas,0,0,0,0,0,0
SV,Natural Gas,0,0,0,0,0,0
TJ,Natural Gas,0,0,0,0,0,0
TT,Natural Gas,1776,1925,2264,2293,2293,2383
TZ,Natural Gas,332,445,600,600,646.7,796.7
UG,Natural Gas,0,0,0,0,0,0
UY,Natural Gas,0,0,0,0,0,0
VE,Natural Gas,4911.36,5319.84,6179.52,6273.7093,7449.176,7799.176
VN,Natural Gas,7402,7902,7914,7899,7823,7914
ZA,Natural Gas,342,342,342,342,342,342
ZM,Natural Gas,0,0,0,0,0,0
ZW,Natural Gas,0,0,0,0,0,0
AR,Nuclear,1005,1005,1005,1010,1010,1010
BB,Nuclear,0,0,0,0,0,0
BD,Nuclear,0,0,0,0,0,0
BO,Nuclear,0,0,0,0,0,0
BR,Nuclear,2007,2007,2007,1990,1990,1990
BS,Nuclear,0,0,0,0,0,0
BW,Nuclear,0,0,0,0,0,0
BZ,Nuclear,0,0,0,0,0,0
CD,Nuclear,0,0,0,0,0,0
CI,Nuclear,0,0,0,0,0,0
CL,Nuclear,0,0,0,0,0,0
CM,Nuclear,0,0,0,0,0,0
CN,Nuclear,10820,11910,12570,14610,20080,27170
CO,Nuclear,0,0,0,0,0,0
CR,Nuclear,0,0,0,0,0,0
DO,Nuclear,0,0,0,0,0,0
EC,Nuclear,0,0,0,0,0,0
EG,Nuclear,0,0,0,0,0,0
ET,Nuclear,0,0,0,0,0,0
GH,Nuclear,0,0,0,0,0,0
GT,Nuclear,0,0,0,0,0,0
GY,Nuclear,0,0,0,0,0,0
HN,Nuclear,0,0,0,0,0,0
HT,Nuclear,0,0,0,0,0,0
ID,Nuclear,0,0,0,0,0,0
IN,Nuclear,4560,4780,4780,4780,5780,5780
IN-AP,Nuclear,0,0,0,0,0,0
IN-BR,Nuclear,0,0,0,0,0,0
IN-MP,Nuclear,0,0,0,0,0,0
IN-OR,Nuclear,0,0,0,0,0,0
IN-UP,Nuclear,440,440,440,440,440,440
IN-WB,Nuclear,0,0,0,0,0,0
JM,Nuclear,0,0,0,0,0,0
JO,Nuclear,0,0,0,0,0,0
KE,Nuclear,0,0,0,0,0,0
LB,Nuclear,0,0,0,0,0,0
LK,Nuclear,0,0,0,0,0,0
LR,Nuclear,0,0,0,0,0,0
MM,Nuclear,0,0,0,0,0,0
MW,Nuclear,0,0,0,0,0,0
MX,Nuclear,1364.88,1364.88,1610,1400,1400,1510
MZ,Nuclear,0,0,0,0,0,0
NG,Nuclear,0,0,0,0,0,0
NI,Nuclear,0,0,0,0,0,0
NP,Nuclear,0,0,0,0,0,0
PA,Nuclear,0,0,0,0,0,0
PE,Nuclear,0,0,0,0,0,0
PK,Nuclear,462,787,787,787,787,787
PY,Nuclear,0,0,0,0,0,0
RW,Nuclear,0,0,0,0,0,0
SL,Nuclear,0,0,0,0,0,0
SN,Nuclear,0,0,0,0,0,0
SR,Nuclear,0,0,0,0,0,0
SV,Nuclear,0,0,0,0,0,0
TJ,Nuclear,0,0,0,0,0,0
TT,Nuclear,0,0,0,0,0,0
TZ,Nuclear,0,0,0,0,0,0
UG,Nuclear,0,0,0,0,0,0
UY,Nuclear,0,0,0,0,0,0
VE,Nuclear,0,0,0,0,0,0
VN,Nuclear,0,0,0,0,0,0
ZA,Nuclear,1860,1860,1860,1860,1860,1860
ZM,Nuclear,0,0,0,0,0,0
ZW,Nuclear,0,0,0,0,0,0
AR,Oil & Diesel,1922.19,1763.22,2382.63,4292.07,4058,4466
BB,Oil & Diesel,239.1,239.1,239.1,239.1,239.1,239.1
BD,Oil & Diesel,575.5,1492.5,2519,2555,3592,4212
BO,Oil & Diesel,63.8,82,69.2,50.1,30,30
BR,Oil & Diesel,6713.06456,7160.08836,7531.81797,8236.8897,8353.21505,8679.64835
BS,Oil & Diesel,555.5,555.5,575.5,575.5,575.5,575.5
BW,Oil & Diesel,70,160,160,160,160,195
BZ,Oil & Diesel,54.8,50.8,50.8,68.5,68.5,68.5
CD,Oil & Diesel,29.46,26.35,26.35,26.35,26.35,26.35
CI,Oil & Diesel,7,7,7,7,10,6
CL,Oil & Diesel,2555.02,2596.66,2836.66,2836.66,2866.1,3702.53
CM,Oil & Diesel,286.7,284.5,384.6,384.6,405.6,426.6
CN,Oil & Diesel,27386.5,18821.9,13279.9,13214,13300,13460
CO,Oil & Diesel,621,972,1031,1629,1733.6,1691
CR,Oil & Diesel,659.809,862.209,612.6,612.6,595.69,595.69
DO,Oil & Diesel,1795.8,1799.9,1799.9,1761.5,2010.6,2170.9
EC,Oil & Diesel,2419,2453,2510,2492,2329,2790.5326
EG,Oil & Diesel,11458,12859,12684,13808,13783,15073
ET,Oil & Diesel,104,104,104,104,112,143
GH,Oil & Diesel,789.5,789.5,921.5,1011.5,1011.5,1391.6
GT,Oil & Diesel,1213.16,1213.16,1213.16,1257.64,1231.84,1317.012
GY,Oil & Diesel,158.4,205.7,158.4,158.4,147.4,173.4
HN,Oil & Diesel,912,911.5,911.9,911.9,864.1,839.1
HT,Oil & Diesel,                -  ,71.2,186,182,191.3,191.3
ID,Oil & Diesel,6171,7143,6612,6301,6207,6390
IN,Oil & Diesel,2080,1800,1800,1800,994,994
IN-AP,Oil & Diesel,0,0,0,0,0,0
IN-BR,Oil & Diesel,0,0,0,0,0,0
IN-MP,Oil & Diesel,0,0,0,0,0,0
IN-OR,Oil & Diesel,0,0,0,0,0,0
IN-UP,Oil & Diesel,0,0,0,0,0,0
IN-WB,Oil & Diesel,0,0,0,0,0,0
JM,Oil & Diesel,536.66,536.66,602.16,602.16,582.9,582.9
JO,Oil & Diesel,1028,1013,1013,796,1660,1660
KE,Oil & Diesel,490.3,614.07,617.9,620.9,696.9,749.934
LB,Oil & Diesel,2133,2133,2133,2133,2321,2403
LK,Oil & Diesel,1389.5,1395.3,1337.8,1335,1215,1115
LR,Oil & Diesel,22,22,22,22,22,22
MM,Oil & Diesel,55,56,60,78,56,56
MW,Oil & Diesel,2.15,2.15,2.15,2.15,2.15,12.15
MX,Oil & Diesel,13065.8990850261,13041.855827839,13347.7322027843,12240.3944450064,12657,12711
MZ,Oil & Diesel,95.1,95.1,95.1,95.1,91,91
NG,Oil & Diesel,0,0,0,0,0,0
NI,Oil & Diesel,683,716,718,718,718,732.29
NP,Oil & Diesel,53.41,53.41,53.41,53.41,53.41,53.4
PA,Oil & Diesel,1051.81,1008.02,953.18,954.14,1080.04,1040.15
PE,Oil & Diesel,1417.994,1727.43,1965.76,3223.78,2521.92,2933.22
PK,Oil & Diesel,2634,2736,3246,3130,3091,2943
PY,Oil & Diesel,7.1,8.4,18.3,24.9,24.9,24.9
RW,Oil & Diesel,37.8,37.8,37.8,47.8,47.8,47.8
SL,Oil & Diesel,26,26,37,37,37,76.68
SN,Oil & Diesel,543,685,702,674,678,427.4
SR,Oil & Diesel,0,0,0,0,0,0
SV,Oil & Diesel,691,691,685,755,756,756.6
TJ,Oil & Diesel,345.64,345.64,345.64,345.64,345.6,345.6
TT,Oil & Diesel,75,75,75,75,75,15
TZ,Oil & Diesel,110.4,210.4,265.4,328.4,562.9,562.9
UG,Oil & Diesel,166,166,122,122,123,123
UY,Oil & Diesel,876.29,876.29,1076.33,1274.9,1274.9,1174.9
VE,Oil & Diesel,5320.64,5763.16,6694.48,9085.1007,8022.484,8279.484
VN,Oil & Diesel,1026,1041,1041,1050,1154.4,1335
ZA,Oil & Diesel,2067,2067,2067,2067,2067,2385.25
ZM,Oil & Diesel,88.5,112.5,112.5,112.5,140.825,140.825
ZW,Oil & Diesel,0,0,0,0,0,0
AR,Other Fossil Fuels,0,0,0,0,0,0
BB,Other Fossil Fuels,0,0,0,0,0,0
BD,Other Fossil Fuels,0,0,0,0,0,0
BO,Other Fossil Fuels,205.5,194.6,197.5,224.5,362,362
BR,Other Fossil Fuels,907.968,1397.968,1412.468,1412.468,1412.468,1425.188
BS,Other Fossil Fuels,0,0,0,0,0,0
BW,Other Fossil Fuels,0,0,0,0,0,0
BZ,Other Fossil Fuels,0,0,0,0,0,0
CD,Other Fossil Fuels,0,0,0,0,0,0
CI,Other Fossil Fuels,0,0,0,0,0,0
CL,Other Fossil Fuels,66.5,66.5,93.02,93.02,93.02,77.33
CM,Other Fossil Fuels,0,0,0,0,0,0
CN,Other Fossil Fuels,0,0,0,0,0,0
CO,Other Fossil Fuels,0,0,0,0,0,0
CR,Other Fossil Fuels,0,0,0,0,0,0
DO,Other Fossil Fuels,0,0,0,0,0,0
EC,Other Fossil Fuels,196,272,272,304,304,317
EG,Other Fossil Fuels,0,0,0,0,0,0
ET,Other Fossil Fuels,0,0,0,0,0,0
GH,Other Fossil Fuels,0,0,0,0,0,0
GT,Other Fossil Fuels,1.5,1.5,1.5,1.5,                -  ,0
GY,Other Fossil Fuels,0,0,0,0,0,0
HN,Other Fossil Fuels,0,0,0,0,0,0
HT,Other Fossil Fuels,0,0,0,0,0,0
ID,Other Fossil Fuels,0,0,0,0,0,0
IN,Other Fossil Fuels,0,0,0,0,0,0
IN-AP,Other Fossil Fuels,0,0,0,0,0,0
IN-BR,Other Fossil Fuels,0,0,0,0,0,0
IN-MP,Other Fossil Fuels,0,0,0,0,0,0
IN-OR,Other Fossil Fuels,0,0,0,0,0,0
IN-UP,Other Fossil Fuels,0,0,0,0,0,0
IN-WB,Other Fossil Fuels,0,0,0,0,0,0
JM,Other Fossil Fuels,0,0,0,0,0,0
JO,Other Fossil Fuels,0,0,0,0,0,0
KE,Other Fossil Fuels,0,0,0,0,0,0
LB,Other Fossil Fuels,0,0,0,0,0,0
LK,Other Fossil Fuels,0,0,0,0,0,0
LR,Other Fossil Fuels,0,0,0,0,0,0
MM,Other Fossil Fuels,0,0,0,0,0,0
MW,Other Fossil Fuels,0,0,0,0,0,0
MX,Other Fossil Fuels,0,0,0,0,0,0
MZ,Other Fossil Fuels,0,0,0,0,0,0
NG,Other Fossil Fuels,0,0,0,0,0,0
NI,Other Fossil Fuels,0,0,0,0,0,0
NP,Other Fossil Fuels,0,0,0,0,0,0
PA,Other Fossil Fuels,0,0,0,0,0,0
PE,Other Fossil Fuels,1121.23,149.71,1003.39,238.55,1534.56,1534.56
PK,Other Fossil Fuels,2315,2769,2776,2776,3157,3157
PY,Other Fossil Fuels,0,0,0,0,0,0
RW,Other Fossil Fuels,0,0,0,0,0,0
SL,Other Fossil Fuels,0,0,0,0,0,0
SN,Other Fossil Fuels,0,0,0,0,0,0
SR,Other Fossil Fuels,197,190,190,190,309.4,309.4
SV,Other Fossil Fuels,0,0,0,0,0,0
TJ,Other Fossil Fuels,0,0,0,0,0,0
TT,Other Fossil Fuels,0,0,0,0,0,0
TZ,Other Fossil Fuels,0,0,0,0,0,0
UG,Other Fossil Fuels,0,0,0,0,0,0
UY,Other Fossil Fuels,0,0,0,0,0,0
VE,Other Fossil Fuels,0,0,0,0,0,0
VN,Other Fossil Fuels,0,0,0,0,0,0
ZA,Other Fossil Fuels,0,0,0,0,0,0
ZM,Other Fossil Fuels,0,0,0,0,0,0
ZW,Other Fossil Fuels,0,0,0,0,0,0
AR,Small Hydro,425,445,523.5,525.2,532,532
BB,Small Hydro,0,0,0,0,0,0
BD,Small Hydro,0,0,0,0,0,0
BO,Small Hydro,285.4,286.3,290.9,290.9,290.9,290.9
BR,Small Hydro,3764.55252,4236.33372,4609.19302,4895.22732,5060.03961,5227.13077
BS,Small Hydro,0,0,0,0,0,0
BW,Small Hydro,0,0,0,0,0,0
BZ,Small Hydro,54.3,54.3,54.3,54.3,54.3,54.3
CD,Small Hydro,100.8373355,106,106,106,106,125.7
CI,Small Hydro,5,5,5,5,55,55
CL,Small Hydro,605.94,654.82,687.82,801.72,843.3,1209.21
CM,Small Hydro,0.094,0.094,0.094,0.094,0.094,0.094
CN,Small Hydro,59240.191,62123.43,65686.071,68000,70000,76648.8
CO,Small Hydro,518.8,533,594,560,596.2,608.55
CR,Small Hydro,363.8,434.1,441.5,449,539.1,589.1
DO,Small Hydro,168,164.5,171.8,167.9,170.7,170.4
EC,Small Hydro,308,299,338,329,410,431
EG,Small Hydro,0,0,0,0,0,0
