sub_indicator,iso,2014
q8,TZ,1
q9,TZ,2
q10,TZ,3
q11,TZ,4
q12,TZ,4
q1,UG,0
q2,UG,1
q3,UG,2
q4,UG,2
q5,UG,0
q6,UG,2
q7,UG,2
q8,UG,0
q9,UG,2
q10,UG,3
q11,UG,4
q12,UG,3
q1,ZM,1
q2,ZM,1
q3,ZM,1
q4,ZM,2
q5,ZM,1
q6,ZM,2
q7,ZM,2
q8,ZM,1
q9,ZM,1
q10,ZM,3
q11,ZM,3
q12,ZM,2
q1,ZW,2
q2,ZW,2
q3,ZW,2
q4,ZW,2
q5,ZW,1
q6,ZW,2
q7,ZW,2
q8,ZW,2
q9,ZW,2
q10,ZW,3
q11,ZW,4
q12,ZW,4
q1,BD,0
q2,BD,1
q3,BD,0
q4,BD,1
q5,BD,0
q6,BD,2
q7,BD,0
q8,BD,0
q9,BD,1
q10,BD,3
q11,BD,0
q12,BD,1
q1,CN,0
q2,CN,1
q3,CN,2
q4,CN,0
q5,CN,0
q6,CN,1
q7,CN,2
q8,CN,2
q9,CN,2
q10,CN,0
q11,CN,4
q12,CN,0
q1,CN-25,0
q2,CN-25,1
q3,CN-25,2
q4,CN-25,2
q5,CN-25,1
q6,CN-25,2
q7,CN-25,2
q8,CN-25,1
q9,CN-25,2
q10,CN-25,0
q11,CN-25,4
q12,CN-25,0
q1,CN-61,0
q2,CN-61,1
q3,CN-61,2
q4,CN-61,0
q5,CN-61,1
q6,CN-61,2
q7,CN-61,2
q8,CN-61,1
q9,CN-61,2
q10,CN-61,0
q11,CN-61,4
q12,CN-61,0
q1,CN-44,0
q2,CN-44,1
q3,CN-44,2
q4,CN-44,0
q5,CN-44,1
q6,CN-44,2
q7,CN-44,2
q8,CN-44,1
q9,CN-44,2
q10,CN-44,0
q11,CN-44,4
q12,CN-44,0
q1,CN-02,0
q2,CN-02,1
q3,CN-02,2
q4,CN-02,0
q5,CN-02,1
q6,CN-02,2
q7,CN-02,2
q8,CN-02,1
q9,CN-02,2
q10,CN-02,0
q11,CN-02,4
q12,CN-02,0
q1,CN-12,0
q2,CN-12,1
q3,CN-12,2
q4,CN-12,0
q5,CN-12,1
q6,CN-12,2
q7,CN-12,2
q8,CN-12,1
q9,CN-12,2
q10,CN-12,0
q11,CN-12,4
q12,CN-12,0
q1,CN-41,0
q2,CN-41,1
q3,CN-41,2
q4,CN-41,0
q5,CN-41,1
q6,CN-41,2
q7,CN-41,2
q8,CN-41,1
q9,CN-41,2
q10,CN-41,0
q11,CN-41,4
q12,CN-41,0
q1,CN-05,0
q2,CN-05,1
q3,CN-05,2
q4,CN-05,0
q5,CN-05,1
q6,CN-05,2
q7,CN-05,2
q8,CN-05,1
q9,CN-05,2
q10,CN-05,0
q11,CN-05,4
q12,CN-05,0
q1,CN-21,0
q2,CN-21,1
q3,CN-21,2
q4,CN-21,0
q5,CN-21,1
q6,CN-21,2
q7,CN-21,2
q8,CN-21,1
q9,CN-21,2
q10,CN-21,0
q11,CN-21,4
q12,CN-21,0
q1,CN-11,0
q2,CN-11,1
q3,CN-11,2
q4,CN-11,0
q5,CN-11,1
q6,CN-11,2
q7,CN-11,2
q8,CN-11,1
q9,CN-11,2
q10,CN-11,0
q11,CN-11,4
q12,CN-11,0
q1,CN-62,0
q2,CN-62,1
q3,CN-62,2
q4,CN-62,0
q5,CN-62,1
q6,CN-62,2
q7,CN-62,2
q8,CN-62,1
q9,CN-62,2
q10,CN-62,0
q11,CN-62,4
q12,CN-62,0
q1,CN-27,0
q2,CN-27,1
q3,CN-27,2
q4,CN-27,0
q5,CN-27,1
q6,CN-27,2
q7,CN-27,2
q8,CN-27,1
q9,CN-27,2
q10,CN-27,0
q11,CN-27,4
q12,CN-27,0
q1,CN-50,0
q2,CN-50,1
q3,CN-50,2
q4,CN-50,0
q5,CN-50,1
q6,CN-50,2
q7,CN-50,2
q8,CN-50,1
q9,CN-50,2
q10,CN-50,0
q11,CN-50,4
q12,CN-50,0
q1,CN-54,0
q2,CN-54,1
q3,CN-54,2
q4,CN-54,0
q5,CN-54,2
q6,CN-54,2
q7,CN-54,2
q8,CN-54,1
q9,CN-54,2
q10,CN-54,0
q11,CN-54,4
q12,CN-54,0
q1,CN-65 ,0
q2,CN-65 ,1
q3,CN-65 ,2
q4,CN-65 ,0
q5,CN-65 ,1
q6,CN-65 ,2
q7,CN-65 ,2
q8,CN-65 ,1
q9,CN-65 ,2
q10,CN-65 ,0
q11,CN-65 ,4
q12,CN-65 ,0
q1,CN-52,0
q2,CN-52,1
q3,CN-52,2
