iso,chain,sub_chain,2015
BD,Biofuels,Biofuels - Equipment Manufacturing,0
BB,Biofuels,Biofuels - Equipment Manufacturing,0
BZ,Biofuels,Biofuels - Equipment Manufacturing,0
BO,Biofuels,Biofuels - Equipment Manufacturing,0
BW,Biofuels,Biofuels - Equipment Manufacturing,0
BR,Biofuels,Biofuels - Equipment Manufacturing,1
CM,Biofuels,Biofuels - Equipment Manufacturing,0
CL,Biofuels,Biofuels - Equipment Manufacturing,0
CN,Biofuels,Biofuels - Equipment Manufacturing,1
CO,Biofuels,Biofuels - Equipment Manufacturing,1
CD,Biofuels,Biofuels - Equipment Manufacturing,0
CR,Biofuels,Biofuels - Equipment Manufacturing,0
CI,Biofuels,Biofuels - Equipment Manufacturing,0
DO,Biofuels,Biofuels - Equipment Manufacturing,0
EC,Biofuels,Biofuels - Equipment Manufacturing,0
EG,Biofuels,Biofuels - Equipment Manufacturing,0
SV,Biofuels,Biofuels - Equipment Manufacturing,0
ET,Biofuels,Biofuels - Equipment Manufacturing,1
GH,Biofuels,Biofuels - Equipment Manufacturing,0
GT,Biofuels,Biofuels - Equipment Manufacturing,0
GY,Biofuels,Biofuels - Equipment Manufacturing,0
HT,Biofuels,Biofuels - Equipment Manufacturing,0
HN,Biofuels,Biofuels - Equipment Manufacturing,0
IN,Biofuels,Biofuels - Equipment Manufacturing,1
IN-AP,Biofuels,Biofuels - Equipment Manufacturing,0
IN-BR,Biofuels,Biofuels - Equipment Manufacturing,0
IN-MP,Biofuels,Biofuels - Equipment Manufacturing,0
IN-OR,Biofuels,Biofuels - Equipment Manufacturing,0
IN-UP,Biofuels,Biofuels - Equipment Manufacturing,0
IN-WB,Biofuels,Biofuels - Equipment Manufacturing,0
ID,Biofuels,Biofuels - Equipment Manufacturing,0
JM,Biofuels,Biofuels - Equipment Manufacturing,0
JO,Biofuels,Biofuels - Equipment Manufacturing,0
KE,Biofuels,Biofuels - Equipment Manufacturing,0
LB,Biofuels,Biofuels - Equipment Manufacturing,0
LR,Biofuels,Biofuels - Equipment Manufacturing,0
MW,Biofuels,Biofuels - Equipment Manufacturing,0
MX,Biofuels,Biofuels - Equipment Manufacturing,0
MZ,Biofuels,Biofuels - Equipment Manufacturing,0
MM,Biofuels,Biofuels - Equipment Manufacturing,0
NP,Biofuels,Biofuels - Equipment Manufacturing,0
NI,Biofuels,Biofuels - Equipment Manufacturing,0
NG,Biofuels,Biofuels - Equipment Manufacturing,0
PK,Biofuels,Biofuels - Equipment Manufacturing,0
PA,Biofuels,Biofuels - Equipment Manufacturing,0
PY,Biofuels,Biofuels - Equipment Manufacturing,1
PE,Biofuels,Biofuels - Equipment Manufacturing,0
RW,Biofuels,Biofuels - Equipment Manufacturing,0
SN,Biofuels,Biofuels - Equipment Manufacturing,0
SL,Biofuels,Biofuels - Equipment Manufacturing,0
ZA,Biofuels,Biofuels - Equipment Manufacturing,1
LK,Biofuels,Biofuels - Equipment Manufacturing,0
SR,Biofuels,Biofuels - Equipment Manufacturing,0
TJ,Biofuels,Biofuels - Equipment Manufacturing,0
TZ,Biofuels,Biofuels - Equipment Manufacturing,0
TT,Biofuels,Biofuels - Equipment Manufacturing,0
UG,Biofuels,Biofuels - Equipment Manufacturing,0
UY,Biofuels,Biofuels - Equipment Manufacturing,0
VE,Biofuels,Biofuels - Equipment Manufacturing,0
VN,Biofuels,Biofuels - Equipment Manufacturing,0
ZM,Biofuels,Biofuels - Equipment Manufacturing,0
ZW,Biofuels,Biofuels - Equipment Manufacturing,0
AR,Biofuels,Biofuels - O&M,1
BS,Biofuels,Biofuels - O&M,0
BD,Biofuels,Biofuels - O&M,0
BB,Biofuels,Biofuels - O&M,0
BZ,Biofuels,Biofuels - O&M,0
BO,Biofuels,Biofuels - O&M,0
BW,Biofuels,Biofuels - O&M,0
BR,Biofuels,Biofuels - O&M,1
CM,Biofuels,Biofuels - O&M,0
CL,Biofuels,Biofuels - O&M,0
CN,Biofuels,Biofuels - O&M,1
CO,Biofuels,Biofuels - O&M,1
CD,Biofuels,Biofuels - O&M,0
CR,Biofuels,Biofuels - O&M,0
CI,Biofuels,Biofuels - O&M,0
DO,Biofuels,Biofuels - O&M,0
EC,Biofuels,Biofuels - O&M,0
EG,Biofuels,Biofuels - O&M,1
SV,Biofuels,Biofuels - O&M,0
ET,Biofuels,Biofuels - O&M,1
GH,Biofuels,Biofuels - O&M,1
GT,Biofuels,Biofuels - O&M,0
GY,Biofuels,Biofuels - O&M,0
HT,Biofuels,Biofuels - O&M,0
HN,Biofuels,Biofuels - O&M,0
IN,Biofuels,Biofuels - O&M,1
IN-AP,Biofuels,Biofuels - O&M,0
IN-BR,Biofuels,Biofuels - O&M,0
IN-MP,Biofuels,Biofuels - O&M,0
IN-OR,Biofuels,Biofuels - O&M,0
IN-UP,Biofuels,Biofuels - O&M,0
IN-WB,Biofuels,Biofuels - O&M,0
ID,Biofuels,Biofuels - O&M,1
JM,Biofuels,Biofuels - O&M,0
JO,Biofuels,Biofuels - O&M,0
KE,Biofuels,Biofuels - O&M,0
LB,Biofuels,Biofuels - O&M,0
LR,Biofuels,Biofuels - O&M,0
MW,Biofuels,Biofuels - O&M,0
MX,Biofuels,Biofuels - O&M,0
MZ,Biofuels,Biofuels - O&M,1
MM,Biofuels,Biofuels - O&M,0
NP,Biofuels,Biofuels - O&M,0
NI,Biofuels,Biofuels - O&M,0
NG,Biofuels,Biofuels - O&M,0
PK,Biofuels,Biofuels - O&M,1
PA,Biofuels,Biofuels - O&M,0
PY,Biofuels,Biofuels - O&M,0
PE,Biofuels,Biofuels - O&M,0
RW,Biofuels,Biofuels - O&M,0
SN,Biofuels,Biofuels - O&M,0
SL,Biofuels,Biofuels - O&M,0
ZA,Biofuels,Biofuels - O&M,1
LK,Biofuels,Biofuels - O&M,0
SR,Biofuels,Biofuels - O&M,0
TJ,Biofuels,Biofuels - O&M,0
TZ,Biofuels,Biofuels - O&M,0
TT,Biofuels,Biofuels - O&M,0
UG,Biofuels,Biofuels - O&M,0
UY,Biofuels,Biofuels - O&M,0
VE,Biofuels,Biofuels - O&M,0
VN,Biofuels,Biofuels - O&M,0
ZM,Biofuels,Biofuels - O&M,0
ZW,Biofuels,Biofuels - O&M,0
AR,Biofuels,Biofuels - Producers,1
BS,Biofuels,Biofuels - Producers,1
BD,Biofuels,Biofuels - Producers,0
BB,Biofuels,Biofuels - Producers,1
BZ,Biofuels,Biofuels - Producers,1
BO,Biofuels,Biofuels - Producers,0
BW,Biofuels,Biofuels - Producers,1
BR,Biofuels,Biofuels - Producers,1
CM,Biofuels,Biofuels - Producers,0
CL,Biofuels,Biofuels - Producers,1
CN,Biofuels,Biofuels - Producers,1
CO,Biofuels,Biofuels - Producers,1
CD,Biofuels,Biofuels - Producers,0
CR,Biofuels,Biofuels - Producers,1
CI,Biofuels,Biofuels - Producers,0
DO,Biofuels,Biofuels - Producers,1
