"iso","id","sub_indicator","unit","clean","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"IN-TN","2.01","Clean energy investments","USDm","-","825.88","1491.69","2218.62","3180.65","6063.73","7801.62","8068.99","8431.53","8431.53","8431.53"
"IN-UP","2.01","Clean energy investments","USDm","-","831.18","973.6","1308.57","1321.91","1450.21","1612.90","1634.26","1646.26","1646.26","1646.26"
"IN-WB","2.01","Clean energy investments","USDm","-","32.22","149.44","293.54","306.95","306.95","330.22","378.32","378.32","378.32","378.32"
"ID","2.01","Clean energy investments","USDm","-","557.56","1650.21","2291.77","2962.57","3469.78","4864.42","5321.29","5716.00","5716.00","5716.00"
"JM","2.01","Clean energy investments","USDm","-","33.79","33.79","33.79","33.79","131.77","131.77","131.77","131.77","131.77","131.77"
"KE","2.01","Clean energy investments","USDm","-","42.02","368.66","472.48","595.98","2451.83","2451.83","4204.12","4684.76","4684.76","4684.76"
"LR","2.01","Clean energy investments","USDm","-","-","-","-","-","-","-","-","-","-","-"
"MW","2.01","Clean energy investments","USDm","-","-","-","-","-","-","-","-","-","-","-"
"MX","2.01","Clean energy investments","USDm","-","411","936.41","1874.18","2379.75","5280.70","5902.40","9083.23","11286.25","11286.25","11286.25"
"MZ","2.01","Clean energy investments","USDm","-","-","47.67","47.67","47.67","47.67","47.67","47.67","49.75","49.75","49.75"
"MM","2.01","Clean energy investments","USDm","-","57.53","57.53","57.53","57.53","57.53","57.53","57.53","57.53","57.53","57.53"
"NP","2.01","Clean energy investments","USDm","-","-","6.03","183.25","219.63","256.74","267.24","267.24","267.24","267.24","267.24"
"NI","2.01","Clean energy investments","USDm","-","134.11","225.91","309.93","504.41","938.64","1208.03","1498.33","1626.99","1626.99","1626.99"
"NG","2.01","Clean energy investments","USDm","-","-","1.49","1.49","1.49","26.07","38.63","140.3","140.3","140.3","140.3"
"PK","2.01","Clean energy investments","USDm","-","-","34.34","162.78","457.34","1415.91","1835.15","2009.26","2258.78","2258.78","2258.78"
"PA","2.01","Clean energy investments","USDm","-","7.65","72.83","228.66","471.39","789.93","916.1","1099.67","1261.07","1261.07","1261.07"
"PY","2.01","Clean energy investments","USDm","-","7","174.47","174.47","174.47","174.47","202.67","202.67","202.67","202.67","202.67"
"PE","2.01","Clean energy investments","USDm","-","63.84","245.97","281.75","509.23","1414.34","1679.10","2666.09","3438.62","3438.62","3438.62"
"RW","2.01","Clean energy investments","USDm","-","-","18.09","131.24","165.49","165.49","165.49","171.01","207.01","207.01","207.01"
"SN","2.01","Clean energy investments","USDm","-","-","137.82","137.82","210.36","210.36","210.36","210.36","210.36","210.36","210.36"
"SL","2.01","Clean energy investments","USDm","-","-","-","-","-","-","357.52","363.84","363.84","363.84","363.84"
"ZA","2.01","Clean energy investments","USDm","-","11.75","127.66","314.23","397.96","403.15","623.87","5931.27","10516.80","10516.80","10516.80"
"LK","2.01","Clean energy investments","USDm","-","122.03","256.15","498.04","703.47","829.17","1147.12","1288.26","1344.26","1344.26","1344.26"
"SR","2.01","Clean energy investments","USDm","-","-","-","-","-","-","-","-","-","-","-"
"TJ","2.01","Clean energy investments","USDm","-","-","-","-","13.52","13.52","13.52","13.52","13.52","13.52","13.52"
"TZ","2.01","Clean energy investments","USDm","-","-","-","-","-","66.58","72.98","111.88","124.88","124.88","124.88"
"TT","2.01","Clean energy investments","USDm","-","-","-","222.51","222.51","222.51","222.51","222.51","222.51","222.51","222.51"
"UG","2.01","Clean energy investments","USDm","-","18.98","59.25","194.6","222.68","273.48","273.48","307.08","307.08","307.08","307.08"
"UY","2.01","Clean energy investments","USDm","-","20.2","25.47","116.52","192.69","244.32","459.48","909.32","2196.96","2196.96","2196.96"
"VE","2.01","Clean energy investments","USDm","-","-","-","165.33","206.93","206.93","271.94","322.52","322.52","322.52","322.52"
"VN","2.01","Clean energy investments","USDm","-","319.79","724.71","1757.10","2574.06","3131.87","3342.77","3658.44","3805.92","3805.92","3805.92"
"ZM","2.01","Clean energy investments","USDm","-","-","-","-","-","161.54","215.47","215.47","215.47","215.47","215.47"
"ZW","2.01","Clean energy investments","USDm","-","81.6","84.66","84.66","84.66","295.82","300.32","372.33","372.33","372.33","372.33"
