iso,sub_indicator,2010,2011,2012,2013,2014,2015,2016
AM,Biomass & Waste,0,0,0,0,0,0,0
AR,Biomass & Waste,0,0,11.5,16.6,17,17,16.6
AZ,Biomass & Waste,0,0,0,37,37,37,37
BB,Biomass & Waste,0,0,0,0,0,0,0
BD,Biomass & Waste,0.05,0.05,0.07,0.07,0.1,0.23,0.31
BO,Biomass & Waste,25,25,25,25,35,35,35
BR,Biomass & Waste,9138.24965,9950.53065,10531.95565,11656.79665,12438.27465,12739.40865,13470.35485
BS,Biomass & Waste,0,0,0,0,0,0,0
BW,Biomass & Waste,0,0,0,0,0,0,0
BY,Biomass & Waste,41.5,53.2,53.2,56.5,56.5,82.9,88
BZ,Biomass & Waste,31.5,31.5,31.5,31.5,31.5,31.5,31.5
CD,Biomass & Waste,9,9,9,9,9,9,9
CI,Biomass & Waste,0,0,0,0,0,0,0
CL,Biomass & Waste,209.25,230.87,322.27,357.49,358.7,371,371.2305886683
CM,Biomass & Waste,0,0,0,0,0,0,0
CN,Biomass & Waste,5509.42,5816,7940,8954,10108,11062,13400
CO,Biomass & Waste,54.9,54.8,86.7,86.7,86.7,86.7,95.75
CR,Biomass & Waste,43.7,43.7,43.7,40,40,40,40
DO,Biomass & Waste,0,0,0,0,0,0,0
EC,Biomass & Waste,101,101,101,101,136,146.3,146.3
EG,Biomass & Waste,0,0,0,0,0,0,0
ET,Biomass & Waste,0,0,0,0,0,0,0
GE,Biomass & Waste,0,0,0,0,0,0,0
GH,Biomass & Waste,0,0,0,0,0,0,0
GT,Biomass & Waste,256.75,287.75,298.25,325.68,452.28,531.409,650.259
GY,Biomass & Waste,30,30,30,30,30,30,30
HN,Biomass & Waste,116.3,137.45,137.45,137.45,123.3,172.2,209.7
HT,Biomass & Waste,0,0,0,0,0,0,0
ID,Biomass & Waste,1709,1709,1653,1716.5,1766.5,1816.5,1906.5
IN,Biomass & Waste,4413.9,5004.24,5566.44,6074.1871290308,7755.63,8635.36,7971.02
IN-AP,Biomass & Waste,450.81,450.81,453.01,456.3,460.24,468.74,535.45
IN-BR,Biomass & Waste,11,41,47,47,47,47,101
IN-MP,Biomass & Waste,4,11,14,26,67,92.53,93
