iso,sub_indicator,2010,2011,2012,2013,2014,2015,2016
EC,Oil & Diesel,2419,2453,2510,2492,2329,2790.5326,2800.81
EG,Oil & Diesel,11070.19,11070.19,11070.19,11070.19,11070.19,12020.19,12020.19
ET,Oil & Diesel,103.52,103.52,40,40,40,40,40
GE,Oil & Diesel,0,0,0,0,0,0,0
GH,Oil & Diesel,789.5,789.5,921.5,1011.5,1011.5,1391.6,1179
GT,Oil & Diesel,1213.16,1213.16,1213.16,1257.64,1231.84,1317.012,1368.662
GY,Oil & Diesel,158.4,205.7,158.4,158.4,147.4,173.4,173.4
HN,Oil & Diesel,912,911.5,911.9,911.9,864.1,839.1,842.1
HT,Oil & Diesel,0,71.2,186,182,191.3,191.3,224.75
ID,Oil & Diesel,4569.89,5471.93,5974,5935,6206.99,6274.99,6274.99
IN,Oil & Diesel,2080.36,1800.36,1800.36,1800.36,993.57,993.57,918.89
IN-AP,Oil & Diesel,0,0,0,0,0,0,0
IN-BR,Oil & Diesel,0,0,0,0,0,0,0
IN-MP,Oil & Diesel,0,0,0,0,0,0,0
IN-OR,Oil & Diesel,0,0,0,0,0,0,0
IN-UP,Oil & Diesel,0,0,0,0,0,0,0
IN-WB,Oil & Diesel,0,0,0,0,0,0,0
JM,Oil & Diesel,536.66,536.66,602.16,602.16,582.9,582.9,582.9
JO,Oil & Diesel,1028.3,1013.3,1013.3,795.9,1659.9,1659.9,1325
KE,Oil & Diesel,550.3,641.07,671.9,674.9,750.9,832.18,834.1133333333
KG,Oil & Diesel,0,0,0,0,0,0,0
KZ,Oil & Diesel,679.5,679.5,695.7,707.7,707.7,707.7,707.7
LB,Oil & Diesel,2133,2133,2133,2133,2321,2403,2403
LK,Oil & Diesel,1389.5,1395.3,1337.8,1335,1215,1115,1115
LR,Oil & Diesel,22,22,22,22,22,22,41
MD,Oil & Diesel,0,0,0,0,0,0,0
MM,Oil & Diesel,55,56,60,78,56,56,61
MN,Oil & Diesel,21.8,21.8,21.8,21.8,21.8,21.8,21.8
MW,Oil & Diesel,2.15,2.15,2.15,2.15,2.15,12.15,16.5
MX,Oil & Diesel,13065.8990850261,13041.855827839,13347.7322027843,12240.3944450064,12657,12711,12594
MZ,Oil & Diesel,95.1,95.1,95.1,95.1,91,91,32
NG,Oil & Diesel,0,0,0,0,0,0,0
NI,Oil & Diesel,683,716,718,718,718,732.29,734.36
NP,Oil & Diesel,53.41,53.41,53.41,53.41,53.41,53.4,53.4
PA,Oil & Diesel,1051.81,1008.02,953.18,954.14,1080.04,1040.15,1240.35
PE,Oil & Diesel,1417.994,1727.43,1965.76,3223.78,2521.92,2933.22,2933
PK,Oil & Diesel,2634,2736,3246,3130,3091,2943,4025
PY,Oil & Diesel,7.1,8.4,18.3,24.9,24.9,24.9,24.9
RU,Oil & Diesel,1583.5408180633,1616.8702280171,1680.840905412,1683.4473003028,1724.9031210916,1755.3267637847,1776.6684749886
RW,Oil & Diesel,37.8,37.8,47.8,47.8,47.8,47.8,52.8
SL,Oil & Diesel,26,26,37,37,37,76.68,77
SN,Oil & Diesel,543,684.5066,701.5,674.02,678.02,556,558
SR,Oil & Diesel,197,190,190,190,309.4,309.4,309.4
SV,Oil & Diesel,691,691,685,755,756,756.6,756.6
TJ,Oil & Diesel,0,0,0,0,0,0,0
TM,Oil & Diesel,1,1,1,1,1,1,1
TR,Oil & Diesel,0,0,0,0,0,0,0
TT,Oil & Diesel,75,75,75,75,75,12,12
TZ,Oil & Diesel,214.7,214.7,432,495.6,385,320.8,230.5
UA,Oil & Diesel,5400,5400,5400,5400,5400,5400,5400
UG,Oil & Diesel,170,120,189,139,139,140,140
UY,Oil & Diesel,876.29,876.29,1076.33,1274.9,1274.9,1104.9,649.9
UZ,Oil & Diesel,0,0,0,0,0,0,0
VE,Oil & Diesel,5320.64,5763.16,6694.48,9085.1007,8022.484,9521.984,9521.984
VN,Oil & Diesel,912,912,912,912,912,1335,1572
ZA,Oil & Diesel,2067,2067,2067,2067,2067,2385.25,2293
ZM,Oil & Diesel,88.5,112.5,112.5,112.5,140.825,140.825,130
ZW,Oil & Diesel,0,0,0,0,0,0,0
AM,Other Fossil Fuels,0,0,0,0,0,0,0
AR,Other Fossil Fuels,0,0,0,0,0,0,0
AZ,Other Fossil Fuels,0,0,0,0,0,0,0
BB,Other Fossil Fuels,0,0,0,0,0,0,0
BD,Other Fossil Fuels,0,0,0,0,0,0,0
BO,Other Fossil Fuels,205.5,194.6,197.5,224.5,362,362,362
BR,Other Fossil Fuels,907.968,1397.968,1412.468,1412.468,1412.468,1425.188,1443.188
BS,Other Fossil Fuels,0,0,0,0,0,0,0
BW,Other Fossil Fuels,0,0,0,0,0,0,0
BY,Other Fossil Fuels,0,0,0,0,0,0,0
BZ,Other Fossil Fuels,0,0,0,0,0,0,0
CD,Other Fossil Fuels,0,0,0,0,0,0,0
CI,Other Fossil Fuels,0,0,0,0,0,0,0
CL,Other Fossil Fuels,66.5,66.5,93.02,93.02,93.02,77,77.3251890756
CM,Other Fossil Fuels,0,0,0,0,0,0,0
CN,Other Fossil Fuels,0,0,0,0,0,0,0
CO,Other Fossil Fuels,0,0,0,0,0,0,0
CR,Other Fossil Fuels,0,0,0,0,0,0,0
DO,Other Fossil Fuels,0,0,0,0,0,0,0
EC,Other Fossil Fuels,0,0,0,0,0,0,0
EG,Other Fossil Fuels,0,0,0,0,0,0,0
ET,Other Fossil Fuels,0,0,0,0,0,0,0
GE,Other Fossil Fuels,0,0,0,0,0,0,0
GH,Other Fossil Fuels,0,0,0,0,0,0,0
GT,Other Fossil Fuels,1.5,1.5,1.5,1.5,                -  ,                -  ,0
GY,Other Fossil Fuels,0,0,0,0,0,0,0
HN,Other Fossil Fuels,0,0,0,0,0,0,0
HT,Other Fossil Fuels,0,0,0,0,0,0,0
ID,Other Fossil Fuels,0,0,0,0,0,0,0
IN,Other Fossil Fuels,0,0,0,0,0,0,0
IN-AP,Other Fossil Fuels,0,0,0,0,0,0,0
IN-BR,Other Fossil Fuels,0,0,0,0,0,0,0
IN-MP,Other Fossil Fuels,0,0,0,0,0,0,0
IN-OR,Other Fossil Fuels,0,0,0,0,0,0,0
IN-UP,Other Fossil Fuels,0,0,0,0,0,0,0
IN-WB,Other Fossil Fuels,0,0,0,0,0,0,0
JM,Other Fossil Fuels,0,0,0,0,0,0,0
JO,Other Fossil Fuels,0,0,0,0,0,0,0
KE,Other Fossil Fuels,0,0,0,0,0,0,0
KG,Other Fossil Fuels,0,0,0,0,0,0,0
KZ,Other Fossil Fuels,101.034,156.034,244.534,248.134,248.134,248.134,254.228
LB,Other Fossil Fuels,0,0,0,0,0,0,0
LK,Other Fossil Fuels,0,0,0,0,0,0,0
LR,Other Fossil Fuels,0,0,0,0,0,0,0
MD,Other Fossil Fuels,0,0,0,0,0,0,0
MM,Other Fossil Fuels,0,0,0,0,0,0,0
MN,Other Fossil Fuels,0,0,0,0,0,0,0
MW,Other Fossil Fuels,0,0,0,0,0,0,0
MX,Other Fossil Fuels,0,0,0,0,0,0,0
MZ,Other Fossil Fuels,0,0,0,0,0,0,0
NG,Other Fossil Fuels,0,0,0,0,0,0,0
NI,Other Fossil Fuels,                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,                -  
NP,Other Fossil Fuels,0,0,0,0,0,0,0
PA,Other Fossil Fuels,0,0,0,0,0,0,0
PE,Other Fossil Fuels,0,0,0,0,0,0,0
PK,Other Fossil Fuels,2315,2769,2776,2776,3157,3157,2682
PY,Other Fossil Fuels,0,0,0,0,0,0,0
RU,Other Fossil Fuels,0,0,0,0,0,0,0
RW,Other Fossil Fuels,0,0,0,0,0,0,0
SL,Other Fossil Fuels,0,0,0,0,0,0,0
SN,Other Fossil Fuels,0,0,0,0,0,0,0
SR,Other Fossil Fuels,0,0,0,0,0,0,0
SV,Other Fossil Fuels,0,0,0,0,0,0,0
TJ,Other Fossil Fuels,0,0,0,0,0,0,0
TM,Other Fossil Fuels,0,0,0,0,0,0,0
TR,Other Fossil Fuels,4276,5436,5335,5830,5555,5159,4878
TT,Other Fossil Fuels,0,0,0,0,0,0,0
TZ,Other Fossil Fuels,0,0,0,0,0,0,0
UA,Other Fossil Fuels,0,0,0,0,0,0,0
UG,Other Fossil Fuels,0,0,0,0,0,0,0
UY,Other Fossil Fuels,0,0,0,0,0,0,0
UZ,Other Fossil Fuels,0,0,0,0,0,0,0
VE,Other Fossil Fuels,0,0,0,0,0,0,0
VN,Other Fossil Fuels,0,0,0,0,0,0,0
ZA,Other Fossil Fuels,0,0,0,0,0,0,0
ZM,Other Fossil Fuels,0,0,0,0,0,0,0
ZW,Other Fossil Fuels,0,0,0,0,0,0,0
AM,Small Hydro,116,174,237,260,282,311,332
AR,Small Hydro,425,445,523.5,525.2,532,532,530.2
AZ,Small Hydro,7,7,7,13,19.2,19.1,20.7
BB,Small Hydro,0,0,0,0,0,0,0
BD,Small Hydro,0,0,0,0,0,0,0
BO,Small Hydro,285.4,286.3,290.9,290.9,290.9,290.9,290.9
BR,Small Hydro,3710.89214,4183.16334,4557.97364,4846.65488,5007.96458,5188.57763,5399.89973
BS,Small Hydro,0,0,0,0,0,0,0
BW,Small Hydro,0,0,0,0,0,0,0
BY,Small Hydro,9.4,9.3,26.3,26.3,26.3,32.9,33.3
BZ,Small Hydro,54.3,54.3,54.3,54.3,54.3,54.3,54.3
CD,Small Hydro,100.84,106,106,106,106,125.7,125.7
CI,Small Hydro,5,5,5,5,55,55,55
CL,Small Hydro,605.94,654.82,687.82,801.72,843.3,1195.46,1260.8673810195
CM,Small Hydro,0.094,0.094,0.094,0.094,0.094,0.094,0.09
CN,Small Hydro,59240.19,62123.43,65686.07,71190,73320,75000,76500
CO,Small Hydro,518.8,533,606.9,619.99,717.39,765.48,838.96
CR,Small Hydro,363.8,434.1,441.5,449,539.1,589.1,606.6
DO,Small Hydro,168,164.5,171.8,167.9,170.7,170.4,170.4
EC,Small Hydro,308,299,338,329,410,431,483.6
EG,Small Hydro,0,0,0,0,0,0,0
ET,Small Hydro,78,78,78,78,78,78,84.6
GE,Small Hydro,270.73,270.73,279.33,309.18,340.91,355.48,360.18
GH,Small Hydro,0,0,0,0,0,0,0
GT,Small Hydro,242.52,284.4,288.86,268.34,321.2,402.369,475.466
GY,Small Hydro,0,0,0,0,0,0,0
HN,Small Hydro,146.5,149.18,157.79,157.79,243.7,252.3,290.4
HT,Small Hydro,0,48,55,54,63.3,63.3,59.7
ID,Small Hydro,166.87,196.87,420.32,628.82,901.92,1155.12,2092.5
IN,Small Hydro,4010.13,4308.68,4579.695,4947.7,5076.45,5485.01,5795
IN-AP,Small Hydro,86.398,89.098,89.098,89.098,89.098,89.098,89.098
IN-BR,Small Hydro,58.3,61.3,70.7,70.7,70.7,70.7,70.7
IN-MP,Small Hydro,161,161,161,161,161,161,161.35
IN-OR,Small Hydro,64.3,64.3,64.3,64.3,64.3,64.3,64.3
IN-UP,Small Hydro,53.9,55.7,55.7,55.7,55.7,55.7,55.7
IN-WB,Small Hydro,109.04,109.04,118.04,118.04,118.04,118.04,286
JM,Small Hydro,22.8,22.8,22.8,22.8,29.1,29.1,29.1
JO,Small Hydro,12,12,12,12,12,12,12
KE,Small Hydro,110,114.6,97.3,101.3,101.814,104.884,104.884
KG,Small Hydro,38.5,38.5,38.5,38.5,38.5,38.5,38.5
KZ,Small Hydro,134.787,134.787,134.787,146.287,146.287,146.287,146.287
LB,Small Hydro,79,79,79,79,79,79,79
LK,Small Hydro,175.363,193.601,226.992,266.884,287.679,306.669,349.644
LR,Small Hydro,4,4,4,4.06,4.06,5.06,5.06
MD,Small Hydro,64,64,64,64,64,64,64
MM,Small Hydro,30,30,30,70,70,70,80
MN,Small Hydro,48.235,48.235,48.235,48.235,48.235,48.235,48.235
MW,Small Hydro,4.5,4.5,4.5,4.5,4.5,4.5,4.5
MX,Small Hydro,477.552,513.552,517.602,520.402,568,595,710.8
MZ,Small Hydro,56,56,56,56,57.63,57.63,41
NG,Small Hydro,30,30,30,32,62,62,62
NI,Small Hydro,51,51,51,65,65,83.6,87.65
NP,Small Hydro,249.98,259.925,279.185,309.328,315.099,367.7484,343.2
PA,Small Hydro,200.03,274.38,305.56,335.26,205.7,297.97,300.06
PE,Small Hydro,532.176,603.53,631.77,647.77,702.76,702.76,754.76
PK,Small Hydro,119,119,138,138,177,177,224.9
PY,Small Hydro,0,0,0,0,0,0,0
RU,Small Hydro,833.07,833.07,833.07,833.7,839.964,841.384,874.504
RW,Small Hydro,43.25,48.63,48.63,52.43,80.43,80.43,101
SL,Small Hydro,56.75,56.75,56.75,56.75,56.75,56.3,60.2
SN,Small Hydro,0,0,0,0,0,0,0
SR,Small Hydro,0,0,0,0,0,0,0
SV,Small Hydro,20,20,20,20,20,37.2,37.2
TJ,Small Hydro,70.5,77.4,79.5,80.1,80.1,80.1,94.06
TM,Small Hydro,1.2,1.2,1.2,1.2,1.2,1.2,1.2
TR,Small Hydro,3957.75,4284.25,4905,5572.25,5910.75,6467,6670.25
TT,Small Hydro,0,0,0,0,0,0,0
TZ,Small Hydro,8.8,8.8,8.8,8.8,8.8,14.3,19.29
UA,Small Hydro,77,80,82,82,85,91,98
UG,Small Hydro,28,52,65,65,65,65,64.8
UY,Small Hydro,0,0,0,0,0,0,0
UZ,Small Hydro,0,0,0,0,,0,0
VE,Small Hydro,26.33,26.33,26.33,25.81,25.81,25.81,25.81
VN,Small Hydro,500,524,1048,1740,1984,2024,2827
ZA,Small Hydro,68,68,68,71,71,71,90
ZM,Small Hydro,64.5,64.5,76.5,76.5,92.75,92.75,95.5
ZW,Small Hydro,2.36,2.36,5.09,7.29,22.29,25.01,27
AM,Solar,0,0,0,0,0,0,0
AR,Solar,0,1,6.2,8.2,8,8,8.2
AZ,Solar,0,1.8,4,5.5,8.2,32,35
BB,Solar,0,0,0,0,0,8,24
BD,Solar,1.1,1.1,1.1,1.1,1.24,13.08,18.31
BO,Solar,0,0,0,0,0,5,5
BR,Solar,0.09041,0.25287,1.75621,4.57561,14.74471,35.3654,80.56096
BS,Solar,0,0,0,0,0,0,0
BW,Solar,0,0,1.3,1.3,1.3,1.3,1.3
BY,Solar,0,0,0,0,0,13,50.9
BZ,Solar,0,0,0.5,0.5,0.5,0.5,0.5
CD,Solar,0,0,0,0,0,0,2
CI,Solar,0,0,0,0,0,0,0
CL,Solar,0,0,2.6,5.86,270.9,575.76,1049.6716960475
CM,Solar,0,0,0.009,0.009,2.45,2.5177,5.838
CN,Solar,599.18,3180.15,5714.23,19814.22,31735.98,50769.31,77420
CO,Solar,0,0,0,0,0,0,0
CR,Solar,0,0,0,0,1,1,1
DO,Solar,0,0,0,1.5,1.5,3,36
EC,Solar,0,0,0,4,13,26.48,26.48
EG,Solar,20,20,20,20,20,20,20
ET,Solar,0,0,0,0,0,0,0
GE,Solar,0,0,0,0,0,0,0
GH,Solar,0,0,0,2.5,2.5,2.5,21.92
GT,Solar,                -  ,                -  ,                -  ,                -  ,5,85,85
GY,Solar,0,0,0,0,0,0,0
HN,Solar,0,0,0,0,0,388,409
HT,Solar,0,0,0,0,0,0,0
ID,Solar,14.46,18.46,23.46,28.46,47.46,79.46,96.78
IN,Solar,18.888,368.4,1176.01,2180,3062.6,4787.87,9012.69
IN-AP,Solar,0,7,22,65.15,132.55,169.8,979.65
IN-BR,Solar,0,0,0,0,0,0,95
IN-MP,Solar,0,0,8.3,254.765,356,678.58,840
IN-OR,Solar,0,0,5,30.5,31.76,66.92,77
IN-UP,Solar,0,0,14,14,22,140,239
IN-WB,Solar,0,1,2,7,7,7.21,62
JM,Solar,0,0,0,0,0,0,20
JO,Solar,0,0,0,0,0,65,412
KE,Solar,0,0,0,0.7,0.7,2.169,3.569
KG,Solar,0,0,0,0,0,0,0
KZ,Solar,0,0,0.758,2.758,2.758,52.758,87.758
LB,Solar,0,0,0,0,0,0,0
LK,Solar,0.018,1.378,1.378,1.36,1.36,1.4,91.36
LR,Solar,0,0,0,0,0,0,0
MD,Solar,0,0,0,0.105,0.976,1.2415,1.6369
MM,Solar,0,0,0,0,0,0,0
MN,Solar,1.233,1.233,1.233,1.233,1.233,1.233,11.233
MW,Solar,0,0,0,0.83,0.83,0.83,0.83
MX,Solar,0,0.787,6.787,38.27308,56,56,145
MZ,Solar,0,0,0,0,0,0,0
NG,Solar,0,0,0,0,0,0,0
NI,Solar,                -  ,                -  ,                -  ,                -  ,1,1.38,1.38
NP,Solar,0,0,0,0,0,0.1,0.1
PA,Solar,0,0,0,0,12.76,42.7,88.53
PE,Solar,0,0,80,80,96,96,96
PK,Solar,0,0,0,0,0,100,400
PY,Solar,0,0,0,0,0,0,0
RU,Solar,0,0,0,0,10,72,107
RW,Solar,0.25,0.25,0.25,0.25,8.75,8.75,8.75
SL,Solar,0,0,0,0,0,0,0
SN,Solar,0,0,0,0,0,0,42
SR,Solar,0,0,0,0,5,5,5
SV,Solar,                -  ,                -  ,                -  ,                -  ,                -  ,11.7,14.75
TJ,Solar,0,0,0,0,0,0,0
TM,Solar,0,0,0,0,0,0.3,0.3
TR,Solar,0,0,0,0,40.2,248.8,832.5
TT,Solar,0,0,0,0,0,0,0
TZ,Solar,0,0,0,0,0,0,0
UA,Solar,48.2,450.9,658.4,714.6,770.8,844.5,943.5
UG,Solar,0,0,0,0,0,0.6,10.6
UY,Solar,0.14,0.39,0.61,1.6,3.7,64.4,88.4
UZ,Solar,0,0,0,0,0,0,0
VE,Solar,0,0,2.27,2.32,2.32,2.32,2.32
VN,Solar,0.8,2,3.2,4.5,5.75,7,8.4
ZA,Solar,0,1.2,2.2,176.6,1085.9,1186.99,1637
ZM,Solar,0,0,0,0,0,0,0
ZW,Solar,0,0,0,0,0,0,0
AM,Wind,2.64,2.64,2.65,2.65,2.65,2.89,2.89
AR,Wind,0,8,111.8,164.8,187.25,187,187.4
AZ,Wind,1.7,63.3,63.3,66,66,66,66
BB,Wind,0,0,0,0,0,0,0
BD,Wind,1.9,1.9,1.9,1.9,1.9,2.9,2.9
BO,Wind,0,0,0,0,3,3,27
BR,Wind,933,1536,1928,2240,5046,7698,9978
BS,Wind,0,0,0,0,0,0,0
BW,Wind,0,0,0,0,0,0,0
BY,Wind,0,1.5,1.5,2,3,15.9,16.3
BZ,Wind,0,0,0,0,0,0,0
CD,Wind,0,0,0,0,0,0,0
CI,Wind,0,0,0,0,0,0,0
CL,Wind,178.89,198.69,198.69,337.89,830.9,906.9,1034.1979956364
CM,Wind,0.0026,0.0026,0.0026,0.0044,0.0044,0.0094,0.0094
CN,Wind,42308.5,60407.8,74390.4,89512.5,110345,139380,148640
CO,Wind,18.4,18.4,18.4,18,18.4,18.4,18.42
CR,Wind,49.5,62.25,77.55,77.55,196.46,267.46,319
DO,Wind,0,33.45,33.45,85.45,85.5,85.5,133
EC,Wind,2,2,2,19,21,21.15,21.15
EG,Wind,551.8,551.8,551.8,551.8,551.8,815.8,815.8
ET,Wind,0,0,51,171.2,171.2,321.2,321.2
GE,Wind,0,0,0,0,0,0,20
GH,Wind,0,0,0,0,0,0,0
GT,Wind,                -  ,                -  ,                -  ,                -  ,0,75.9,75.9
GY,Wind,0,0,0,0,0,0,0
HN,Wind,0,102,102,102,152,152,175
HT,Wind,0,0,0,0,0,0,0
ID,Wind,1.39,1.39,3.09,3.09,3.09,3.09,3.09
IN,Wind,13183.58,16078,18550,20149.48,22465.7,25088,28700.44
IN-AP,Wind,166.87,196.87,420.32,628.82,901.92,1155.12,2092.5
IN-BR,Wind,0,0,0,0,0,0,0
IN-MP,Wind,237.2,330,386,386,567.3,1126,2288.58
IN-OR,Wind,0,0,0,0,0,0,0
IN-UP,Wind,0,0,0,0,0,0,0
IN-WB,Wind,2,2,2,2,2,2,2
JM,Wind,23.7,41.7,41.7,41.7,41.9,41.9,102.2
JO,Wind,1.4,1.4,1.4,1.4,1.4,118.4,198
KE,Wind,5,5,5,5.6,24.4,26.05,26.05
KG,Wind,0,0,0,0,0,0,0
KZ,Wind,0.5,0.5,0.5,4.5,9.5,9.5,9.5
LB,Wind,0,0,0,0,0,0,0
LK,Wind,33.15,36.24,76.04,81.45,131.45,131.45,131.45
LR,Wind,0,0,0,0,0,0,0
MD,Wind,0,0,0,1.1,1.1,1.13,2.33
MM,Wind,0,0,0,0,0,0,0
MN,Wind,0,0,0,100,100,100,100
MW,Wind,0,0,0,0,0,0,0
MX,Wind,546.5,628,1331.65,1638.05,2036,2805,3735
MZ,Wind,0,0,0,0,0,0,0
NG,Wind,0,0,0,0,0,0,0
NI,Wind,63,63,147,147,186,186.2,186.2
NP,Wind,0,0,0,0,0,0,0
PA,Wind,0,0,0,0,55,205,270
PE,Wind,0,0,0,0,142,142,243.2
PK,Wind,0,0,0,50,106,307.8,551.4
PY,Wind,0,0,0,0,0,0,0
RU,Wind,0,0,0,0,1,3,3
RW,Wind,0,0,0,0,0,0,0
SL,Wind,0,0,0,0,0,0,0
SN,Wind,0,0,0,0,0,0,0
SR,Wind,0,0,0,0,0,0,0
SV,Wind,                -  ,                -  ,                -  ,                -  ,                -  ,-,0
TJ,Wind,0,0,0,0,0,0,0
TM,Wind,0,0,0,0,0,0,0
TR,Wind,1320,1729,2261,1760,3630,4503,5751
TT,Wind,0,0,0,0,0,0,0
TZ,Wind,0,0,0,0,0,0,0
UA,Wind,148.8,183.8,325.8,434.8,508.8,515.8,526.8
UG,Wind,0,0,0,0,0,0,0
UY,Wind,40.6,43.61,52.61,59.4,481.3,856.8,1211.5
UZ,Wind,0,0,0,0,0,0,0
VE,Wind,0,0,6.3,50.2,50.2,50.2,50.2
VN,Wind,0,0.8,31,46,46,135,160
ZA,Wind,7,7,7,7,578,1078.3,1500.9
ZM,Wind,0,0,0,0,0,0,0
ZW,Wind,0,0,0,0,0,0,0
