sub_indicator,iso,2016,answer,note
q53,GH,0,Yes,
q54,GH,2,No,
q55,GH,2,No,
q56,TZ,2,Low,
q57,GH,0,Yes,
q58,GH,1,Somewhat,
q59,GH,0,Yes,
q60,GH,2,No,
q61,GH,2,Low,
q41,GT,0,Yes,
q23,HT,0,Yes,
q24,HT,1,Somewhat,
q25,HT,2,No,
q26,HT,1,Somewhat,
q27,HT,2,No,
q28,HT,2,No,
q29,HT,0,Yes,
q30,HT,0,Yes,
q31,HT,0,Yes,
q32,HT,2,No,
q33,HT,1,Somewhat,
q34,HT,1,Somewhat,
q35,HT,1,Somewhat,
q36,HT,2,No,
q37,HT,2,No,
q38,HT,1,Somewhat,
q39,HT,0,Yes,
q41,HT,2,No,
q42,HT,2,No,
q43,CI,0,High,
q44,HT,1,Somewhat,
q45,HT,1,Somewhat,
q46,HT,2,No,
q47,TZ,1,Average,
q48,HT,2,No,
q49,HT,2,No,
q50,HT,2,No,
q51,HT,0,Yes,
q53,HT,0,Yes,
q54,HT,2,No,
q55,HT,0,Yes,
q56,ET,2,Low,
q57,HT,2,No,
q58,HT,2,No,
q59,HT,2,No,
q60,HT,2,No,
q61,HT,2,Low,
q23,KE,0,Yes,
q24,KE,1,Somewhat,
q25,KE,2,No,
q26,KE,2,No,
q27,KE,2,No,
q28,KE,2,No,
q29,KE,1,Somewhat,
q30,KE,0,Yes,
q31,KE,1,Somewhat,
q32,KE,1,Somewhat,
q33,KE,0,Yes,
q34,KE,1,Somewhat,
q35,KE,0,Yes,
q36,KE,2,No,
q37,KE,1,Somewhat,
q38,KE,0,Yes,
q39,KE,0,Yes,
q41,KE,0,Yes,
q42,KE,0,Yes,
q43,UG,1,Average,
q44,KE,0,Yes,
q45,KE,0,Yes,
q46,KE,1,Somewhat,
q47,ZM,1,Average,
q48,KE,0,Yes,
q49,KE,1,Somewhat,
q50,KE,0,Yes,
q51,KE,0,Yes,
q53,KE,1,Somewhat,
q54,KE,2,No,
q55,KE,1,Somewhat,
q56,SL,2,Low,
q57,KE,2,No,
q58,KE,0,Yes,
q59,KE,2,No,
q60,KE,0,Yes,
q61,KE,2,Low,
q23,LR,2,No,
q24,LR,2,No,
q25,LR,2,No,
q26,LR,1,Somewhat,
q27,LR,2,No,
q28,LR,2,No,
q29,LR,1,Somewhat,
q30,LR,0,Yes,
q31,LR,2,No,
q32,LR,2,No,
q33,LR,2,No,
q34,LR,2,No,
q35,LR,2,No,
q36,LR,2,No,
q37,LR,0,Yes,
q38,LR,2,No,
q39,LR,2,No,
q41,LR,0,Yes,
q42,LR,0,Yes,
q43,ZW,1,Average,
q44,LR,0,Yes,
q45,LR,0,Yes,
q46,LR,0,Yes,
q47,KE,1,Average,
q48,LR,2,No,
q49,LR,2,No,
q50,LR,2,No,
q51,LR,0,Yes,
q53,LR,2,No,
q54,LR,2,No,
q55,LR,2,No,
q56,NG,1,Medium,
q57,LR,2,No,
q58,LR,2,No,
q59,LR,2,No,
q60,LR,2,No,
q61,LR,2,Low,
q23,MW,0,Yes,
q24,MW,1,Somewhat,
q25,MW,2,No,
q26,MW,0,Yes,
q27,MW,0,Yes,
q28,MW,2,No,
q29,MW,1,Somewhat,
q30,MW,1,Somewhat,
q31,MW,1,Somewhat,
q32,MW,1,Somewhat,
q33,MW,1,Somewhat,
q34,MW,2,No,
q35,MW,0,Yes,
q36,MW,2,No,
q37,MW,2,No,
q38,MW,1,Somewhat,
q39,MW,2,No,
q41,MW,1,Somewhat,
q42,MW,2,No,
q43,MM,1,Average,
q44,MW,0,Yes,
q45,MW,2,No,
q46,MW,1,Somewhat,
q47,SL,1,Average,
q48,MW,1,Somewhat,
q49,MW,2,No,
q50,MW,1,Somewhat,
q51,MW,0,Yes,
q53,MW,0,Yes,
q54,MW,2,No,
q55,MW,2,No,
q56,LR,1,Medium,
q57,MW,2,No,
q58,MW,1,Somewhat,
q59,MW,0,Yes,
q60,MW,0,Yes,
q61,MW,2,Low,
q23,MZ,1,Somewhat,
q24,MZ,1,Somewhat,
q25,MZ,2,No,
q26,MZ,0,Yes,
q27,MZ,2,No,
q28,MZ,2,No,
q29,MZ,1,Somewhat,
q30,MZ,0,Yes,
q31,MZ,1,Somewhat,
q32,MZ,2,No,
q33,MZ,1,Somewhat,
q34,MZ,0,Yes,
q35,MZ,0,Yes,
q36,MZ,2,No,
q37,MZ,1,Somewhat,
q38,MZ,0,Yes,
q39,MZ,0,Yes,
q41,MZ,1,Somewhat,
q42,MZ,0,Yes,
q43,BW,1,Average,
q44,MZ,1,Somewhat,
q45,MZ,1,Somewhat,
q46,MZ,1,Somewhat,
q47,ZW,1,Average,
q48,MZ,1,Somewhat,
q49,MZ,1,Somewhat,
q50,MZ,2,No,
q51,MZ,0,Yes,
q53,MZ,0,Yes,
q54,MZ,2,No,
q55,MZ,0,Yes,
q56,CI,0,High,
q57,MZ,2,No,
q58,MZ,2,No,
q59,MZ,1,Somewhat,
q60,MZ,1,Somewhat,
q61,MZ,2,Low,
q23,MM,0,Yes,
q24,MM,2,No,
q25,MM,0,Yes,
q26,MM,0,Yes,
q27,MM,1,Somewhat,
q28,MM,1,Somewhat,
q29,MM,0,Yes,
q30,MM,0,Yes,
q31,MM,0,Yes,
q32,MM,2,No,
q33,MM,0,Yes,
q34,MM,1,Somewhat,
q35,MM,2,No,
q36,MM,2,No,
q37,MM,1,Somewhat,
q38,MM,2,No,
q39,MM,2,No,
q41,MM,0,Yes,
q42,MM,0,Yes,
q43,KE,1,Average,
q44,MM,0,Yes,
q45,MM,0,Yes,
q46,MM,0,Yes,
q47,ET,1,Average,
q48,MM,0,Yes,
q49,MM,0,Yes,
q50,MM,2,No,
q51,MM,0,Yes,
q53,MM,2,No,
q54,MM,2,No,
q55,MM,2,No,
q56,HT,0,High,
q57,MM,2,No,
q58,MM,2,No,
q59,MM,2,No,
q60,MM,2,No,
q61,MM,2,Low,
q23,NP,0,Yes,
q24,NP,2,No,
q25,NP,0,Yes,
q26,NP,0,Yes,
q27,NP,1,Somewhat,
q28,NP,1,Somewhat,
q29,NP,0,Yes,
q30,NP,1,Somewhat,
q31,NP,1,Somewhat,
q32,NP,0,Yes,
q33,NP,0,Yes,
q34,NP,0,Yes,
q35,NP,1,Somewhat,
q36,NP,1,Somewhat,
q37,NP,1,Somewhat,
q38,NP,0,Yes,
q39,NP,2,No,
q41,NP,0,Yes,
q42,NP,0,Yes,
q43,ET,1,Average,
q44,NP,1,Somewhat,
q45,NP,0,Yes,
q46,NP,0,Yes,
q47,RW,1,Average,
q48,NP,2,No,
q49,NP,0,Yes,
q50,NP,0,Yes,
q51,NP,0,Yes,
q53,NP,2,No,
q54,NP,1,Somewhat,
q55,NP,0,Yes,
q56,BW,0,High,
q57,NP,1,Somewhat,
q58,NP,0,Yes,
q59,NP,2,No,
q60,NP,2,No,
q61,NP,2,Low,
q23,NG,0,Yes,
q24,NG,0,Yes,
q25,NG,2,No,
q26,NG,0,Yes,
q27,NG,0,Yes,
q28,NG,0,Yes,
q29,NG,0,Yes,
q30,NG,0,Yes,
q31,NG,1,Somewhat,
q32,NG,2,No,
q33,NG,0,Yes,
q34,NG,1,Somewhat,
q35,NG,0,Yes,
q36,NG,0,Yes,
q37,NG,1,Somewhat,
q38,NG,0,Yes,
q39,NG,0,Yes,
q41,NG,0,Yes,
q42,NG,0,Yes,
q43,CD,1,Average,
q44,NG,0,Yes,
q45,NG,0,Yes,
q46,NG,0,Yes,
q47,MZ,2,Low,
q48,NG,2,No,
q49,NG,2,No,
q50,NG,1,Somewhat,
q51,NG,0,Yes,
q53,NG,0,Yes,
q54,NG,0,Yes,
q55,NG,0,Yes,
q56,NP,0,High,
q57,NG,1,Somewhat,
q58,NG,1,Somewhat,
q59,NG,1,Somewhat,
q60,NG,2,No,
q61,NG,2,Low,
q23,PK,0,Yes,
q24,PK,2,No,
q25,PK,1,Somewhat,
q26,PK,0,Yes,
q27,PK,2,No,
q28,PK,1,Somewhat,
q29,PK,0,Yes,
q30,PK,0,Yes,
q31,PK,2,No,
q32,PK,0,Yes,
q33,PK,0,Yes,
q34,PK,0,Yes,
q35,PK,0,Yes,
q36,PK,1,Somewhat,
q37,PK,2,No,
q38,PK,0,Yes,
q39,PK,2,No,
q41,PK,1,Somewhat,
q42,PK,1,Somewhat,
q43,GH,2,Low,
q44,PK,2,No,
q45,PK,1,Somewhat,
q46,PK,0,Yes,
q47,CM,2,Low,
q48,PK,0,Yes,
q49,PK,0,Yes,
q50,PK,0,Yes,
q51,PK,0,Yes,
q53,PK,0,Yes,
q54,PK,2,No,
q55,PK,0,Yes,
q56,ZW,0,High,
q57,PK,2,No,
q58,PK,0,Yes,
q59,PK,0,Yes,
q60,PK,0,Yes,
q61,PK,2,Low,
q23,RW,0,Yes,
q24,RW,0,Yes,
q25,RW,1,Somewhat,
q26,RW,0,Yes,
q27,RW,0,Yes,
q28,RW,0,Yes,
q29,RW,0,Yes,
q30,RW,0,Yes,
q31,RW,0,Yes,
q32,RW,1,Somewhat,
q33,RW,0,Yes,
q34,RW,0,Yes,
q35,RW,0,Yes,
q36,RW,0,Yes,
q37,RW,0,Yes,
q38,RW,0,Yes,
q39,RW,0,Yes,
q41,RW,0,Yes,
q42,RW,0,Yes,
q43,ZM,2,Low,
q44,RW,0,Yes,
q45,RW,0,Yes,
q46,RW,0,Yes,
q47,MW,2,Low,
q48,RW,0,Yes,
q49,RW,0,Yes,
q50,RW,0,Yes,
q51,RW,1,Somewhat,
q53,RW,1,Somewhat,
q54,RW,1,Somewhat,
q55,RW,0,Yes,
q56,CD,0,High,
q57,RW,0,Yes,
q58,RW,0,Yes,
q59,RW,1,Somewhat,
q60,RW,0,Yes,
q61,RW,2,Low,
q23,SN,0,Yes,
q24,SN,0,Yes,
q25,SN,0,Yes,
q26,SN,0,Yes,
q27,SN,2,No,
q28,SN,1,Somewhat,
q29,SN,1,Somewhat,
q30,SN,2,No,
q31,SN,1,Somewhat,
q32,SN,2,No,
q33,SN,0,Yes,
q34,SN,0,Yes,
q35,SN,0,Yes,
q36,SN,1,Somewhat,
q37,SN,2,No,
q38,SN,1,Somewhat,
q39,SN,0,Yes,
q41,SN,0,Yes,
q42,SN,0,Yes,
q43,CM,2,Low,
q44,SN,0,Yes,
q45,SN,0,Yes,
q46,SN,0,Yes,
q47,PK,2,Low,
q48,SN,1,Somewhat,
q49,SN,1,Somewhat,
q50,SN,1,Somewhat,
q51,SN,0,Yes,
q53,SN,0,Yes,
q54,SN,1,Somewhat,
q55,SN,1,Somewhat,
q56,ZM,0,High,
q57,SN,2,No,
q58,SN,1,Somewhat,
q59,SN,2,No,
q60,SN,0,Yes,
q61,SN,2,Low,
q23,SL,0,Yes,
q24,SL,1,Somewhat,
q25,SL,1,Somewhat,
q26,SL,0,Yes,
q27,SL,2,No,
q28,SL,2,No,
q29,SL,1,Somewhat,
q30,SL,1,Somewhat,
q31,SL,1,Somewhat,
q32,SL,2,No,
q33,SL,0,Yes,
q34,SL,1,Somewhat,
q35,SL,2,No,
q36,SL,2,No,
q37,SL,1,Somewhat,
q38,SL,2,No,
q39,SL,2,No,
q41,SL,1,Somewhat,
q42,SL,2,No,
q43,NG,2,Low,
q44,SL,0,Yes,
q45,SL,0,Yes,
q46,SL,1,Somewhat,
q47,UG,2,Low,
q48,SL,2,No,
q49,SL,1,Somewhat,
q50,SL,1,Somewhat,
q51,SL,1,Somewhat,
q53,SL,2,No,
q54,SL,0,Yes,
q55,SL,0,Yes,
q56,MW,0,High,
q57,SL,1,Somewhat,
q58,SL,1,Somewhat,
q59,SL,0,Yes,
q60,SL,1,Somewhat,
q61,SL,2,Low,
q23,TZ,0,Yes,
q24,TZ,2,No,
q25,TZ,0,Yes,
q26,TZ,0,Yes,
q27,TZ,0,Yes,
q28,TZ,1,Somewhat,
q29,TZ,2,No,
q30,TZ,0,Yes,
q31,TZ,0,Yes,
q32,TZ,0,Yes,
q33,TZ,0,Yes,
q34,TZ,0,Yes,
q35,TZ,0,Yes,
q36,TZ,0,Yes,
q37,TZ,0,Yes,
q38,TZ,0,Yes,
q39,TZ,0,Yes,
q41,TZ,0,Yes,
q42,TZ,0,Yes,
q43,PK,2,Low,
q44,TZ,0,Yes,
q45,TZ,2,No,
q46,TZ,0,Yes,
q47,NP,2,Low,
q48,TZ,0,Yes,
q49,TZ,0,Yes,
q50,TZ,0,Yes,
q51,TZ,0,Yes,
q53,TZ,0,Yes,
q54,TZ,1,Somewhat,
q55,TZ,2,No,
q56,MZ,0,High,
q57,TZ,0,Yes,
q58,TZ,0,Yes,
q59,TZ,0,Yes,
q60,TZ,0,Yes,
q61,TZ,2,Low,
q23,UG,0,Yes,
q24,UG,0,Yes,
q25,UG,1,Somewhat,
q26,UG,0,Yes,
q27,UG,2,No,
q28,UG,0,Yes,
q29,UG,0,Yes,
q30,UG,0,Yes,
q31,UG,0,Yes,
q32,UG,0,Yes,
q33,UG,0,Yes,
q34,UG,0,Yes,
q35,UG,1,Somewhat,
q36,UG,1,Somewhat,
q37,UG,0,Yes,
q38,UG,1,Somewhat,
q39,UG,0,Yes,
q41,UG,0,Yes,
q42,UG,0,Yes,
q43,BD,2,Low,
q44,UG,0,Yes,
q45,UG,0,Yes,
q46,UG,0,Yes,
q47,CI,2,Low,
q48,UG,0,Yes,
q49,UG,0,Yes,
q50,UG,2,No,
q51,UG,2,No,
q53,UG,1,Somewhat,
q54,UG,2,No,
q55,UG,2,No,
q56,PK,0,High,
q57,UG,1,Somewhat,
q58,UG,2,No,
q59,UG,1,Somewhat,
q60,UG,2,No,
q61,UG,2,Low,
q23,ZM,0,Yes,
q24,ZM,0,Yes,
q25,ZM,0,Yes,
q26,ZM,0,Yes,
q27,ZM,1,Somewhat,
q28,ZM,0,Yes,
q29,ZM,0,Yes,
q30,ZM,1,Somewhat,
q31,ZM,0,Yes,
q32,ZM,1,Somewhat,
q33,ZM,0,Yes,
q34,ZM,2,No,
q35,ZM,0,Yes,
q36,ZM,1,Somewhat,
q37,ZM,1,Somewhat,
q38,ZM,1,Somewhat,
q39,ZM,2,No,
q41,ZM,0,Yes,
q42,ZM,0,Yes,
q43,HT,2,Low,
q44,ZM,0,Yes,
q45,ZM,1,Somewhat,
q46,ZM,0,Yes,
q47,BD,2,Low,
q48,ZM,2,No,
q49,ZM,2,No,
q50,ZM,2,No,
q51,ZM,0,Yes,
q53,ZM,1,Somewhat,
q54,ZM,2,No,
q55,ZM,2,No,
q56,UG,0,High,
q57,ZM,2,No,
q58,ZM,2,No,
q59,ZM,2,No,
q60,ZM,2,No,
q61,ZM,2,Low,
q23,ZW,0,Yes,
q24,ZW,0,Yes,
q25,ZW,2,No,
q26,ZW,0,Yes,
q27,ZW,0,Yes,
q28,ZW,1,Somewhat,
q29,ZW,1,Somewhat,
q30,ZW,0,Yes,
q31,ZW,0,Yes,
q32,ZW,2,No,
q33,ZW,1,Somewhat,
q34,ZW,2,No,
q35,ZW,0,Yes,
q36,ZW,1,Somewhat,
q37,ZW,2,No,
q38,ZW,2,No,
q39,ZW,1,Somewhat,
q41,ZW,0,Yes,
q42,ZW,0,Yes,
q43,SL,2,Low,
q44,ZW,0,Yes,
q45,ZW,0,Yes,
q46,ZW,2,No,
q47,HT,2,Low,
q48,ZW,2,No,
q49,ZW,1,Somewhat,
q50,ZW,0,Yes,
q51,ZW,2,No,
q53,ZW,1,Somewhat,
q54,ZW,2,No,
q55,ZW,0,Yes,
q56,SN,0,High,
q57,ZW,2,No,
q58,ZW,0,Yes,
q59,ZW,2,No,
q60,ZW,2,No,
q61,ZW,2,Low,
