iso,gdp,growth_rate,population,clean_energy_investments,installed_power_capacity,renewable_share,clean_energy_generation
AM,10.5,-0.01,2.92,0.01,3.64,0.09,902.8
AR,545.12,-0.1,43.85,1.06,33.9,0.02,2780.52
AZ,37.56,-0.45,9.76,0.01,6.38,0.02,273.7
BB,4.59,0.06,0.28,0,0.26,0.09,35.94
BD,227.9,0.61,162.95,0,12.7,0,30.81
BO,34.83,0.28,10.89,0.89,2.44,0.15,1111.33
BR,1798.62,-0.27,207.65,55.61,148.87,0.19,94398.25
BS,8.94,0.09,0.39,0,0.58,0,0
BW,15.02,0.02,2.25,0,0.93,0,1.71
BY,48.85,-0.26,9.51,0.27,9.12,0.02,497.54
BZ,1.74,0.11,0.37,0.01,0.15,0.56,330.61
CD,41.62,0.51,78.74,0.08,2.8,0.05,444.24
CI,35.49,0.31,23.7,0,1.85,0.03,170
CL,247.03,-0.07,17.91,11.91,22.04,0.17,12530.62
CM,29.33,0.11,23.44,0.05,1.43,0,10.34
CN,11218.28,0.32,1378.67,421.46,1594.8,0.2,600293.82
CO,282.36,-0.24,48.65,0.49,16.64,0.06,3903.25
CR,58.11,0.25,4.86,1.56,3.47,0.34,4653.96
DO,72.19,0.19,10.65,0.51,3.99,0.09,933.19
EC,98.01,0.11,16.39,0.21,8.07,0.08,2735.44
EG,332.35,0.21,95.69,1.08,39.06,0.02,2090.6
ET,72.52,0.68,102.4,1.32,4.14,0.1,1086.17
GE,14.22,-0.1,3.72,0.14,3.86,0.1,1720.54
GH,43.26,0.03,28.21,0.07,3.57,0.01,26.88
GT,68.18,0.35,16.58,1.04,4.21,0.32,3771.07
GY,3.44,0.2,0.77,0,0.2,0.15,37.76
HN,21.36,0.15,9.11,2.01,2.44,0.44,3151.34
HT,8.26,0.05,10.85,0,0.28,0.21,226
ID,932.45,0.01,261.12,3.55,58.97,0.06,25038.76
IN,2256.4,0.23,1324.17,46.94,313.86,0.16,86599.28
JM,13.95,-0.05,2.88,0.21,1.01,0.15,364.39
JO,38.74,0.25,9.46,2.6,4.55,0.14,1074.2
KE,68.92,0.37,48.46,3.56,2.34,0.33,5254.78
KG,6.55,-0.01,6.08,0,3.63,0.01,199.57
KZ,133.76,-0.36,17.8,0.5,20.15,0.01,602.13
LB,51.99,0.18,6.01,0,2.68,0.03,198
LK,82.62,0.39,21.2,0.61,3.99,0.15,1334.63
LR,2.11,0.21,4.61,0.1,0.11,0.05,21.72
MD,6.75,-0.07,3.55,0,0.45,0.16,56.42
MM,66.32,0.11,52.89,0,5.43,0.04,943
MN,11.03,-0.1,3.03,0.29,1.22,0.13,242.5
MW,5.49,-0.08,18.09,0.01,0.39,0.06,150.46
MX,1046,-0.12,127.54,13.51,73.24,0.09,20758
MZ,11.28,-0.26,28.83,0,2.6,0.02,125.71
NG,405.95,-0.13,185.99,0.31,13.34,0,248.14
NI,13.05,0.25,6.15,0.61,1.39,0.43,2185.62
NP,21.15,0.12,28.98,0.05,0.86,0.4,1429.27
PA,55.12,0.38,4.03,1.28,3.29,0.2,1752.64
PE,195.14,0.01,31.77,3.64,12.95,0.09,5197.86
PK,284.19,0.27,193.2,2.62,26.79,0.05,2985.55
PY,27.44,0.12,6.73,0,8.83,0,0
RU,1280.73,-0.41,144.34,0,230.35,0.01,11339.44
RW,8.41,0.16,11.92,0.07,0.21,0.6,427.67
SL,3.98,0.05,7.4,0.05,0.14,0.44,116.28
SN,14.79,0.04,15.41,0.42,0.76,0.06,7
SR,3.57,-0.28,0.56,0.01,0.5,0.01,11.3
SV,26.71,0.12,6.34,0.59,1.78,0.28,1964.6
TJ,6.92,-0.09,8.73,0,5.75,0.02,0
TM,36.18,0.03,5.66,0,6.67,0,3.5
TR,857.43,-0.02,79.51,10.76,78.96,0.18,40227
TT,20.97,-0.18,1.36,0,2.1,0,0
TZ,47.18,0.21,55.57,0.27,1.45,0.02,45.35
UA,93.26,-0.47,45,2.62,59.31,0.02,2584.65
UG,26.2,0.06,41.49,0.4,0.95,0.18,767.03
UY,54.57,0.06,3.44,5.68,3.91,0.44,5692.85
UZ,66.5,0.3,31.85,0.16,13.56,0,0
VE,287.27,-0.13,31.57,0.06,33.9,0,293.93
VN,201.33,0.29,92.7,1.49,43.65,0.08,10805.96
ZA,294.13,-0.26,55.91,17.26,48.27,0.07,7646.05
ZM,21.31,-0.16,16.59,0,2.64,0.04,241.97
ZW,14.17,0.14,16.15,0.33,2.03,0.05,194.16
IN-AP,92.19,0.22,52.49,,20.04,0.18,4746.07
IN-BR,63.18,0.22,114.21,,4.80,0.06,287.92
IN-MP,86.33,0.23,78.49,,22.77,0.15,5120.24
IN-OR,50.78,0.08,44.33,,11.21,0.02,505.88
IN-UP,176.29,0.17,215.60,,25.10,0.09,3478.42
IN-WB,140.57,0.27,96.97,,16.33,0.03,1932.27
